SessionID,UserID,Platform,SessionDuration,PagesVisited,PurchaseMade,SessionStartTime
99,1368,Website,255.15,6.0,0,2021-06-01 01:38:00
100,1153,Website,158.99,2.0,1,2021-06-01 01:39:00
101,2028,,485.12,9.0,1,2021-06-01 01:40:00
102,2696,Website,325.09,3.0,0,2021-06-01 01:41:00
103,1496,MobileApp,1549.13,6.0,0,2021-06-01 01:42:00
104,1163,Website,,,1,2021-06-01 01:43:00
105,1523,MobileApp,86.81,4.0,1,2021-06-01 01:44:00
106,2641,MobileApp,767.34,6.0,1,2021-06-01 01:45:00
107,392,Website,448.68,6.0,0,2021-06-01 01:46:00
108,1699,MobileApp,405.57,7.0,0,2021-06-01 01:47:00
109,419,MobileApp,395.83,8.0,1,2021-06-01 01:48:00
110,2337,Website,601.01,2.0,0,2021-06-01 01:49:00
111,379,Website,305.13,5.0,1,2021-06-01 01:50:00
112,1797,Website,819.01,4.0,0,2021-06-01 01:51:00
113,2279,MobileApp,823.06,5.0,1,2021-06-01 01:52:00
114,2089,MobileApp,598.68,7.0,0,2021-06-01 01:53:00
115,2183,MobileApp,767.45,3.0,0,2021-06-01 01:54:00
116,201,Website,1507.52,8.0,0,2021-06-01 01:55:00
117,1864,Website,162.81,7.0,1,2021-06-01 01:56:00
118,780,Website,822.27,3.0,0,2021-06-01 01:57:00
119,2978,Website,1297.23,2.0,1,2021-06-01 01:58:00
120,503,MobileApp,292.87,9.0,0,2021-06-01 01:59:00
121,2455,MobileApp,80.28,6.0,1,2021-06-01 02:00:00
122,1752,Website,780.09,2.0,0,2021-06-01 02:01:00
123,805,MobileApp,220.62,6.0,0,2021-06-01 02:02:00
124,2147,Website,637.48,7.0,0,2021-06-01 02:03:00
125,2732,MobileApp,,,1,2021-06-01 02:04:00
126,1896,Website,,,0,2021-06-01 02:05:00
127,2774,MobileApp,1501.21,4.0,1,2021-06-01 02:06:00
128,1571,Website,1564.96,7.0,0,2021-06-01 02:07:00
129,961,MobileApp,,,0,2021-06-01 02:08:00
130,2661,Website,287.68,5.0,0,2021-06-01 02:09:00
131,1486,Website,351.34,2.0,0,2021-06-01 02:10:00
132,2691,MobileApp,397.08,4.0,1,2021-06-01 02:11:00
133,1029,Website,218.27,11.0,1,2021-06-01 02:12:00
134,503,MobileApp,563.03,4.0,1,2021-06-01 02:13:00
135,2815,MobileApp,497.28,6.0,0,2021-06-01 02:14:00
136,398,MobileApp,407.5,7.0,1,2021-06-01 02:15:00
137,871,MobileApp,355.89,5.0,1,2021-06-01 02:16:00
138,2843,Website,248.71,4.0,0,2021-06-01 02:17:00
139,393,MobileApp,734.89,7.0,1,2021-06-01 02:18:00
140,207,Website,455.01,6.0,0,2021-06-01 02:19:00
141,1039,MobileApp,106.07,8.0,0,2021-06-01 02:20:00
142,1882,Website,1829.48,5.0,1,2021-06-01 02:21:00
143,2940,MobileApp,763.62,4.0,1,2021-06-01 02:22:00
144,1485,Website,789.9,4.0,0,2021-06-01 02:23:00
145,864,Website,923.73,6.0,0,2021-06-01 02:24:00
146,2791,Website,708.5,6.0,0,2021-06-01 02:25:00
147,564,Website,1278.54,11.0,1,2021-06-01 02:26:00
148,1021,Website,529.44,5.0,1,2021-06-01 02:27:00
149,96,Website,511.74,3.0,0,2021-06-01 02:28:00
150,1924,MobileApp,162.05,6.0,0,2021-06-01 02:29:00
151,1758,Website,1341.24,9.0,1,2021-06-01 02:30:00
152,2533,MobileApp,251.22,2.0,1,2021-06-01 02:31:00
153,2279,Website,1140.58,4.0,1,2021-06-01 02:32:00
154,2797,Website,724.91,2.0,0,2021-06-01 02:33:00
155,1679,MobileApp,875.98,3.0,1,2021-06-01 02:34:00
156,541,MobileApp,690.98,5.0,0,2021-06-01 02:35:00
157,1060,MobileApp,782.27,2.0,0,2021-06-01 02:36:00
158,2573,MobileApp,1147.88,6.0,0,2021-06-01 02:37:00
159,1184,Website,607.83,5.0,1,2021-06-01 02:38:00
160,1723,MobileApp,2075.85,5.0,1,2021-06-01 02:39:00
161,1820,MobileApp,555.13,2.0,1,2021-06-01 02:40:00
162,2626,Website,1822.74,5.0,0,2021-06-01 02:41:00
163,2730,MobileApp,210.85,5.0,0,2021-06-01 02:42:00
164,2605,MobileApp,282.31,7.0,1,2021-06-01 02:43:00
165,1598,Website,267.92,5.0,1,2021-06-01 02:44:00
166,2694,MobileApp,959.79,4.0,0,2021-06-01 02:45:00
167,796,MobileApp,590.06,3.0,0,2021-06-01 02:46:00
168,1052,MobileApp,646.08,5.0,1,2021-06-01 02:47:00
169,1644,Website,966.55,5.0,0,2021-06-01 02:48:00
170,1364,MobileApp,812.25,7.0,1,2021-06-01 02:49:00
171,1982,Website,892.47,4.0,0,2021-06-01 02:50:00
172,1355,Website,297.29,5.0,0,2021-06-01 02:51:00
173,1664,Website,978.32,4.0,0,2021-06-01 02:52:00
174,1530,MobileApp,239.84,7.0,0,2021-06-01 02:53:00
175,2039,MobileApp,277.62,4.0,0,2021-06-01 02:54:00
176,1497,MobileApp,656.71,7.0,0,2021-06-01 02:55:00
177,2238,MobileApp,188.1,5.0,0,2021-06-01 02:56:00
178,1409,Website,1064.52,4.0,0,2021-06-01 02:57:00
179,1401,Website,719.77,7.0,0,2021-06-01 02:58:00
180,1307,MobileApp,260.56,3.0,0,2021-06-01 02:59:00
181,2681,MobileApp,563.48,0.0,0,2021-06-01 03:00:00
182,2676,MobileApp,1427.55,8.0,0,2021-06-01 03:01:00
183,973,Website,468.08,5.0,0,2021-06-01 03:02:00
184,1769,Website,301.07,4.0,0,2021-06-01 03:03:00
185,1283,Website,240.06,4.0,0,2021-06-01 03:04:00
186,710,Website,1388.87,5.0,0,2021-06-01 03:05:00
187,1480,Website,503.87,4.0,0,2021-06-01 03:06:00
188,1435,MobileApp,708.25,6.0,0,2021-06-01 03:07:00
189,649,MobileApp,,,0,2021-06-01 03:08:00
190,318,MobileApp,798.6,6.0,0,2021-06-01 03:09:00
191,1258,Website,433.17,5.0,0,2021-06-01 03:10:00
192,684,Website,655.59,2.0,0,2021-06-01 03:11:00
193,664,MobileApp,1373.68,5.0,0,2021-06-01 03:12:00
194,1999,MobileApp,,,0,2021-06-01 03:13:00
195,1632,MobileApp,,,0,2021-06-01 03:14:00
196,1496,MobileApp,664.07,4.0,0,2021-06-01 03:15:00
197,1137,MobileApp,1059.1,6.0,0,2021-06-01 03:16:00
198,1854,Website,150.29,7.0,0,2021-06-01 03:17:00
199,1521,Website,1136.21,6.0,0,2021-06-01 03:18:00
200,2490,MobileApp,513.26,5.0,1,2021-06-01 03:19:00
201,564,Website,1166.31,9.0,1,2021-06-01 03:20:00
202,1292,Website,1132.14,4.0,1,2021-06-01 03:21:00
203,1637,Website,1285.45,6.0,0,2021-06-01 03:22:00
204,3000,Website,,,0,2021-06-01 03:23:00
205,699,MobileApp,1487.29,5.0,0,2021-06-01 03:24:00
206,2161,Website,796.14,3.0,0,2021-06-01 03:25:00
207,2,Website,1236.4,6.0,0,2021-06-01 03:26:00
208,642,MobileApp,240.81,10.0,0,2021-06-01 03:27:00
209,2268,MobileApp,264.12,6.0,0,2021-06-01 03:28:00
210,1590,MobileApp,543.83,5.0,1,2021-06-01 03:29:00
211,855,MobileApp,257.2,5.0,0,2021-06-01 03:30:00
212,1760,MobileApp,1073.45,9.0,0,2021-06-01 03:31:00
213,2433,MobileApp,611.06,7.0,0,2021-06-01 03:32:00
214,1662,Website,196.76,5.0,0,2021-06-01 03:33:00
215,1154,Website,777.35,7.0,0,2021-06-01 03:34:00
216,1077,MobileApp,354.23,6.0,1,2021-06-01 03:35:00
217,1708,MobileApp,540.38,5.0,0,2021-06-01 03:36:00
218,2778,MobileApp,945.62,6.0,0,2021-06-01 03:37:00
219,1696,MobileApp,519.5,5.0,1,2021-06-01 03:38:00
220,1734,MobileApp,209.51,6.0,0,2021-06-01 03:39:00
221,1440,Website,,,0,2021-06-01 03:40:00
222,2295,Website,322.68,8.0,0,2021-06-01 03:41:00
223,836,Website,582.28,3.0,0,2021-06-01 03:42:00
224,203,Website,482.61,3.0,1,2021-06-01 03:43:00
225,123,Website,451.6,4.0,0,2021-06-01 03:44:00
226,401,Website,1262.47,6.0,0,2021-06-01 03:45:00
227,767,MobileApp,259.73,4.0,1,2021-06-01 03:46:00
228,294,MobileApp,101.58,5.0,0,2021-06-01 03:47:00
229,2328,MobileApp,628.05,6.0,0,2021-06-01 03:48:00
230,2932,Website,775.57,3.0,0,2021-06-01 03:49:00
231,198,Website,371.99,5.0,1,2021-06-01 03:50:00
232,1931,MobileApp,694.24,6.0,1,2021-06-01 03:51:00
233,2800,Website,133.58,6.0,0,2021-06-01 03:52:00
234,2192,MobileApp,581.93,8.0,1,2021-06-01 03:53:00
235,609,Website,449.21,8.0,1,2021-06-01 03:54:00
236,1148,MobileApp,376.8,4.0,1,2021-06-01 03:55:00
237,187,Website,368.96,5.0,0,2021-06-01 03:56:00
238,2512,Website,491.63,4.0,0,2021-06-01 03:57:00
239,1795,Website,775.04,6.0,0,2021-06-01 03:58:00
240,660,MobileApp,213.04,4.0,0,2021-06-01 03:59:00
241,2812,Website,450.23,6.0,0,2021-06-01 04:00:00
242,1956,MobileApp,184.54,4.0,0,2021-06-01 04:01:00
243,2451,Website,502.61,5.0,1,2021-06-01 04:02:00
244,1370,Website,197.28,4.0,1,2021-06-01 04:03:00
245,1987,MobileApp,494.04,5.0,0,2021-06-01 04:04:00
246,1535,MobileApp,1159.92,3.0,0,2021-06-01 04:05:00
247,147,MobileApp,623.21,6.0,0,2021-06-01 04:06:00
248,2912,Website,,,0,2021-06-01 04:07:00
249,1735,Website,145.73,3.0,0,2021-06-01 04:08:00
250,1844,MobileApp,323.57,4.0,1,2021-06-01 04:09:00
251,489,Website,568.08,8.0,1,2021-06-01 04:10:00
252,2977,MobileApp,497.52,3.0,1,2021-06-01 04:11:00
253,1960,Website,365.46,5.0,1,2021-06-01 04:12:00
254,1664,,,,0,2021-06-01 04:13:00
255,2599,Website,2118.42,4.0,1,2021-06-01 04:14:00
256,2386,Website,,,0,2021-06-01 04:15:00
257,2920,MobileApp,,,0,2021-06-01 04:16:00
258,641,MobileApp,311.0,2.0,0,2021-06-01 04:17:00
259,1803,MobileApp,371.21,3.0,0,2021-06-01 04:18:00
260,2521,MobileApp,627.48,1.0,0,2021-06-01 04:19:00
261,1970,MobileApp,383.52,12.0,0,2021-06-01 04:20:00
262,2199,MobileApp,238.8,6.0,1,2021-06-01 04:21:00
263,1439,MobileApp,,,0,2021-06-01 04:22:00
264,1635,MobileApp,114.11,5.0,0,2021-06-01 04:23:00
265,263,Website,797.42,3.0,1,2021-06-01 04:24:00
266,1788,MobileApp,1780.17,6.0,0,2021-06-01 04:25:00
267,2192,MobileApp,995.16,3.0,1,2021-06-01 04:26:00
268,2394,MobileApp,1379.76,3.0,0,2021-06-01 04:27:00
269,624,MobileApp,1147.22,8.0,1,2021-06-01 04:28:00
270,1017,Website,220.6,5.0,1,2021-06-01 04:29:00
271,881,Website,1347.94,6.0,0,2021-06-01 04:30:00
272,2050,Website,918.61,7.0,0,2021-06-01 04:31:00
273,2945,Website,425.23,4.0,0,2021-06-01 04:32:00
274,1328,MobileApp,856.08,7.0,0,2021-06-01 04:33:00
275,2302,MobileApp,568.98,4.0,0,2021-06-01 04:34:00
276,453,MobileApp,670.41,4.0,0,2021-06-01 04:35:00
277,1184,MobileApp,953.78,4.0,1,2021-06-01 04:36:00
278,2057,Website,508.72,3.0,0,2021-06-01 04:37:00
279,1683,MobileApp,677.52,5.0,0,2021-06-01 04:38:00
280,2864,MobileApp,202.81,5.0,1,2021-06-01 04:39:00
281,2256,Website,800.24,9.0,1,2021-06-01 04:40:00
282,1155,MobileApp,107.88,6.0,0,2021-06-01 04:41:00
283,404,MobileApp,934.44,4.0,0,2021-06-01 04:42:00
284,2200,Website,80.33,7.0,0,2021-06-01 04:43:00
285,2102,MobileApp,960.11,5.0,0,2021-06-01 04:44:00
286,1697,MobileApp,697.02,6.0,0,2021-06-01 04:45:00
287,628,Website,496.27,2.0,1,2021-06-01 04:46:00
288,587,MobileApp,3237.18,4.0,1,2021-06-01 04:47:00
289,1649,Website,835.82,7.0,0,2021-06-01 04:48:00
290,1444,Website,1382.02,6.0,0,2021-06-01 04:49:00
291,1446,MobileApp,328.71,2.0,1,2021-06-01 04:50:00
292,104,Website,690.56,2.0,0,2021-06-01 04:51:00
293,254,MobileApp,341.62,5.0,0,2021-06-01 04:52:00
294,2558,Website,583.98,3.0,1,2021-06-01 04:53:00
295,1497,Website,749.92,9.0,0,2021-06-01 04:54:00
296,99,MobileApp,792.33,1.0,0,2021-06-01 04:55:00
297,2201,Website,107.1,3.0,0,2021-06-01 04:56:00
298,1885,Website,353.04,8.0,1,2021-06-01 04:57:00
299,2962,MobileApp,582.66,0.0,0,2021-06-01 04:58:00
300,1920,MobileApp,451.6,6.0,1,2021-06-01 04:59:00
301,878,MobileApp,827.35,3.0,0,2021-06-01 05:00:00
302,338,MobileApp,164.32,9.0,0,2021-06-01 05:01:00
303,2870,MobileApp,758.82,5.0,0,2021-06-01 05:02:00
304,957,MobileApp,282.52,9.0,0,2021-06-01 05:03:00
305,1705,Website,351.05,3.0,1,2021-06-01 05:04:00
306,161,Website,979.67,4.0,1,2021-06-01 05:05:00
307,1604,Website,1536.28,2.0,0,2021-06-01 05:06:00
308,2849,Website,578.82,3.0,0,2021-06-01 05:07:00
309,398,MobileApp,1203.62,3.0,0,2021-06-01 05:08:00
310,1301,MobileApp,352.21,2.0,0,2021-06-01 05:09:00
311,816,MobileApp,1218.85,6.0,1,2021-06-01 05:10:00
312,1528,Website,562.98,2.0,1,2021-06-01 05:11:00
313,1920,Website,216.22,2.0,0,2021-06-01 05:12:00
314,1416,Website,158.42,6.0,0,2021-06-01 05:13:00
315,1159,MobileApp,1900.68,2.0,1,2021-06-01 05:14:00
316,1219,Website,1122.77,8.0,1,2021-06-01 05:15:00
317,401,MobileApp,323.84,5.0,0,2021-06-01 05:16:00
318,640,Website,1196.21,2.0,0,2021-06-01 05:17:00
319,2736,MobileApp,168.79,5.0,0,2021-06-01 05:18:00
320,460,MobileApp,317.51,6.0,0,2021-06-01 05:19:00
321,955,MobileApp,265.5,5.0,1,2021-06-01 05:20:00
322,470,Website,339.44,7.0,1,2021-06-01 05:21:00
323,1046,Website,1286.55,4.0,1,2021-06-01 05:22:00
324,2798,Website,858.66,6.0,0,2021-06-01 05:23:00
325,1694,MobileApp,463.98,5.0,0,2021-06-01 05:24:00
326,2086,Website,989.07,5.0,1,2021-06-01 05:25:00
327,2278,Website,38.47,6.0,0,2021-06-01 05:26:00
328,563,MobileApp,493.34,6.0,1,2021-06-01 05:27:00
329,2486,MobileApp,1304.8,6.0,1,2021-06-01 05:28:00
330,1800,MobileApp,289.71,3.0,1,2021-06-01 05:29:00
331,2075,MobileApp,861.12,5.0,0,2021-06-01 05:30:00
332,226,MobileApp,434.73,5.0,1,2021-06-01 05:31:00
333,798,MobileApp,744.3,5.0,1,2021-06-01 05:32:00
334,2332,MobileApp,587.97,3.0,1,2021-06-01 05:33:00
335,2927,Website,622.5,7.0,0,2021-06-01 05:34:00
336,960,MobileApp,185.8,2.0,1,2021-06-01 05:35:00
337,1505,MobileApp,529.88,3.0,1,2021-06-01 05:36:00
338,453,Website,461.63,5.0,0,2021-06-01 05:37:00
339,816,MobileApp,67.83,5.0,0,2021-06-01 05:38:00
340,659,Website,296.77,7.0,0,2021-06-01 05:39:00
341,547,Website,252.61,6.0,0,2021-06-01 05:40:00
342,1216,MobileApp,801.3,6.0,0,2021-06-01 05:41:00
343,17,MobileApp,825.12,5.0,1,2021-06-01 05:42:00
344,1244,MobileApp,242.21,3.0,0,2021-06-01 05:43:00
345,2206,Website,414.46,5.0,1,2021-06-01 05:44:00
346,2525,MobileApp,107.74,3.0,0,2021-06-01 05:45:00
347,1070,Website,241.15,5.0,1,2021-06-01 05:46:00
348,2566,Website,544.27,6.0,1,2021-06-01 05:47:00
349,2147,Website,1639.02,5.0,0,2021-06-01 05:48:00
350,1769,Website,1065.24,4.0,1,2021-06-01 05:49:00
351,1061,Website,1129.76,9.0,0,2021-06-01 05:50:00
352,2328,MobileApp,226.98,3.0,0,2021-06-01 05:51:00
353,2545,MobileApp,320.86,3.0,0,2021-06-01 05:52:00
354,302,,328.37,6.0,0,2021-06-01 05:53:00
355,181,MobileApp,874.28,3.0,1,2021-06-01 05:54:00
356,607,Website,365.39,5.0,0,2021-06-01 05:55:00
357,700,MobileApp,849.27,3.0,0,2021-06-01 05:56:00
358,993,MobileApp,506.86,4.0,1,2021-06-01 05:57:00
359,1140,Website,910.79,5.0,0,2021-06-01 05:58:00
360,191,MobileApp,1196.51,8.0,1,2021-06-01 05:59:00
361,2301,Website,337.74,4.0,0,2021-06-01 06:00:00
362,981,Website,731.08,4.0,0,2021-06-01 06:01:00
363,2976,MobileApp,129.71,2.0,1,2021-06-01 06:02:00
364,2007,MobileApp,355.67,6.0,0,2021-06-01 06:03:00
365,1185,MobileApp,657.35,4.0,1,2021-06-01 06:04:00
366,128,Website,1643.22,4.0,0,2021-06-01 06:05:00
367,2066,MobileApp,468.55,8.0,0,2021-06-01 06:06:00
368,1817,MobileApp,1325.19,7.0,1,2021-06-01 06:07:00
369,1759,MobileApp,1080.88,5.0,0,2021-06-01 06:08:00
370,2614,Website,293.91,10.0,1,2021-06-01 06:09:00
371,570,Website,568.13,4.0,0,2021-06-01 06:10:00
372,1347,MobileApp,161.55,4.0,1,2021-06-01 06:11:00
373,1896,Website,,,0,2021-06-01 06:12:00
374,2734,Website,414.49,6.0,1,2021-06-01 06:13:00
375,626,Website,874.09,3.0,1,2021-06-01 06:14:00
376,2902,MobileApp,866.12,5.0,0,2021-06-01 06:15:00
377,1687,MobileApp,359.77,4.0,1,2021-06-01 06:16:00
378,155,MobileApp,247.18,4.0,0,2021-06-01 06:17:00
379,2538,Website,533.15,5.0,1,2021-06-01 06:18:00
380,1410,MobileApp,1168.26,7.0,0,2021-06-01 06:19:00
381,785,Website,327.92,4.0,0,2021-06-01 06:20:00
382,246,MobileApp,1314.22,4.0,1,2021-06-01 06:21:00
383,1501,Website,684.55,6.0,0,2021-06-01 06:22:00
384,1706,Website,202.29,3.0,0,2021-06-01 06:23:00
385,2807,Website,142.71,6.0,0,2021-06-01 06:24:00
386,538,MobileApp,696.37,2.0,1,2021-06-01 06:25:00
387,1891,MobileApp,336.7,4.0,0,2021-06-01 06:26:00
388,1842,Website,1305.53,5.0,0,2021-06-01 06:27:00
389,921,Website,801.45,2.0,1,2021-06-01 06:28:00
390,2456,Website,558.85,4.0,1,2021-06-01 06:29:00
391,525,MobileApp,286.3,5.0,1,2021-06-01 06:30:00
392,2876,Website,1636.19,8.0,0,2021-06-01 06:31:00
393,1530,Website,184.07,5.0,0,2021-06-01 06:32:00
394,2951,MobileApp,512.13,3.0,0,2021-06-01 06:33:00
395,36,MobileApp,453.48,6.0,0,2021-06-01 06:34:00
396,685,Website,587.21,1.0,0,2021-06-01 06:35:00
397,20,Website,114.03,2.0,0,2021-06-01 06:36:00
398,2369,MobileApp,103.18,7.0,0,2021-06-01 06:37:00
399,2560,MobileApp,267.48,5.0,1,2021-06-01 06:38:00
400,400,Website,327.32,6.0,0,2021-06-01 06:39:00
401,2702,MobileApp,373.12,6.0,0,2021-06-01 06:40:00
402,972,MobileApp,279.99,6.0,0,2021-06-01 06:41:00
403,1907,MobileApp,668.98,6.0,0,2021-06-01 06:42:00
404,2519,Website,135.29,1.0,0,2021-06-01 06:43:00
405,1167,MobileApp,573.09,1.0,0,2021-06-01 06:44:00
406,1116,MobileApp,207.26,9.0,1,2021-06-01 06:45:00
407,834,MobileApp,163.3,6.0,0,2021-06-01 06:46:00
408,1824,MobileApp,375.81,6.0,1,2021-06-01 06:47:00
409,2775,Website,466.47,1.0,0,2021-06-01 06:48:00
410,1983,Website,711.39,7.0,0,2021-06-01 06:49:00
411,854,Website,111.75,4.0,0,2021-06-01 06:50:00
412,51,MobileApp,1048.79,7.0,0,2021-06-01 06:51:00
413,575,MobileApp,321.91,6.0,0,2021-06-01 06:52:00
414,1149,MobileApp,565.84,7.0,1,2021-06-01 06:53:00
415,2198,MobileApp,1113.92,8.0,0,2021-06-01 06:54:00
416,2362,Website,452.22,2.0,1,2021-06-01 06:55:00
417,2618,Website,505.93,6.0,0,2021-06-01 06:56:00
418,2353,MobileApp,122.1,1.0,1,2021-06-01 06:57:00
419,1716,MobileApp,503.37,5.0,1,2021-06-01 06:58:00
420,682,Website,,,1,2021-06-01 06:59:00
421,838,Website,188.06,3.0,0,2021-06-01 07:00:00
422,1078,Website,1299.56,3.0,1,2021-06-01 07:01:00
423,2492,Website,651.62,2.0,1,2021-06-01 07:02:00
424,2661,Website,135.27,5.0,1,2021-06-01 07:03:00
425,2312,MobileApp,85.32,2.0,1,2021-06-01 07:04:00
426,1596,Website,270.78,9.0,0,2021-06-01 07:05:00
427,5,Website,662.35,6.0,0,2021-06-01 07:06:00
428,1127,MobileApp,1000.67,4.0,0,2021-06-01 07:07:00
429,1220,MobileApp,,,0,2021-06-01 07:08:00
430,774,Website,,,0,2021-06-01 07:09:00
431,877,MobileApp,213.17,8.0,0,2021-06-01 07:10:00
432,992,Website,664.33,11.0,0,2021-06-01 07:11:00
433,2932,MobileApp,266.25,9.0,0,2021-06-01 07:12:00
434,47,MobileApp,,,1,2021-06-01 07:13:00
