TransactionID,UserID,TransactionAmount,TransactionDate,ProductCategory
43,647,23.18,2021-01-02 18:00:00,Electronics
44,2069,44.35,2021-01-02 19:00:00,Home
45,2889,16.18,2021-01-02 20:00:00,Books
46,2215,71.33,2021-01-02 21:00:00,Beauty
47,1298,61.73,2021-01-02 22:00:00,Clothing
48,2436,231.02,2021-01-02 23:00:00,Clothing
49,601,265.93,2021-01-03 00:00:00,Clothing
50,2364,48.38,2021-01-03 01:00:00,Beauty
51,2062,67.68,2021-01-03 02:00:00,Clothing
52,242,226.56,2021-01-03 03:00:00,Books
53,2042,164.36,2021-01-03 04:00:00,Beauty
54,2825,0.37,2021-01-03 05:00:00,Clothing
55,2613,38.58,2021-01-03 06:00:00,Electronics
56,2946,54.78,2021-01-03 07:00:00,Beauty
57,1364,26.1,2021-01-03 08:00:00,Beauty
58,2140,22.26,2021-01-03 09:00:00,Home
59,1391,3.85,2021-01-03 10:00:00,Clothing
60,1479,103.11,2021-01-03 11:00:00,Electronics
61,2557,30.45,2021-01-03 12:00:00,Books
62,776,5.38,2021-01-03 13:00:00,Beauty
63,35,26.26,2021-01-03 14:00:00,Books
64,2254,161.91,2021-01-03 15:00:00,Books
65,1956,190.71,2021-01-03 16:00:00,Books
66,1586,65.98,2021-01-03 17:00:00,Home
67,1022,53.8,2021-01-03 18:00:00,Books
68,2614,381.01,2021-01-03 19:00:00,Clothing
69,1130,22.38,2021-01-03 20:00:00,Clothing
70,1501,24.25,2021-01-03 21:00:00,Electronics
71,703,34.51,2021-01-03 22:00:00,Electronics
72,2450,18.97,2021-01-03 23:00:00,Books
73,2778,47.7,2021-01-04 00:00:00,Books
74,1580,241.73,2021-01-04 01:00:00,Home
75,162,95.54,2021-01-04 02:00:00,Books
76,202,53.09,2021-01-04 03:00:00,Books
77,1982,272.43,2021-01-04 04:00:00,Books
78,996,4.97,2021-01-04 05:00:00,Beauty
79,2318,23.61,2021-01-04 06:00:00,Beauty
80,816,83.45,2021-01-04 07:00:00,Home
81,456,95.59,2021-01-04 08:00:00,Home
82,1276,4.04,2021-01-04 09:00:00,Clothing
83,1017,51.59,2021-01-04 10:00:00,Home
84,2344,104.74,2021-01-04 11:00:00,Clothing
85,2768,119.76,2021-01-04 12:00:00,Books
86,338,101.65,2021-01-04 13:00:00,Home
87,879,38.65,2021-01-04 14:00:00,Home
88,1077,9.82,2021-01-04 15:00:00,Home
89,792,55.71,2021-01-04 16:00:00,Clothing
90,2265,13.78,2021-01-04 17:00:00,Clothing
91,764,294.93,2021-01-04 18:00:00,Electronics
92,2236,64.47,2021-01-04 19:00:00,Clothing
93,380,38.16,2021-01-04 20:00:00,Clothing
94,493,145.37,2021-01-04 21:00:00,Beauty
95,1181,68.91,2021-01-04 22:00:00,Home
96,2063,37.11,2021-01-04 23:00:00,Clothing
97,65,167.11,2021-01-05 00:00:00,Home
98,2569,201.86,2021-01-05 01:00:00,Home
99,1368,111.78,2021-01-05 02:00:00,Beauty
100,1153,4.81,2021-01-05 03:00:00,Home
101,2028,83.55,2021-01-05 04:00:00,Clothing
102,2696,144.09,2021-01-05 05:00:00,Home
103,1496,14.68,2021-01-05 06:00:00,Electronics
104,1163,25.96,2021-01-05 07:00:00,Electronics
105,1523,214.13,2021-01-05 08:00:00,Beauty
106,2641,2.03,2021-01-05 09:00:00,Clothing
107,392,139.73,2021-01-05 10:00:00,Beauty
108,1699,64.2,2021-01-05 11:00:00,Electronics
109,419,59.2,2021-01-05 12:00:00,Clothing
110,2337,0.71,2021-01-05 13:00:00,Home
111,379,171.15,2021-01-05 14:00:00,Clothing
112,1797,44.6,2021-01-05 15:00:00,Books
113,2279,77.82,2021-01-05 16:00:00,Clothing
114,2089,113.1,2021-01-05 17:00:00,Home
115,2183,121.28,2021-01-05 18:00:00,Books
116,201,312.31,2021-01-05 19:00:00,Beauty
117,1864,75.79,2021-01-05 20:00:00,Clothing
118,780,51.04,2021-01-05 21:00:00,Beauty
119,2978,307.27,2021-01-05 22:00:00,Clothing
120,503,102.75,2021-01-05 23:00:00,Electronics
121,2455,35.4,2021-01-06 00:00:00,Electronics
122,1752,13.52,2021-01-06 01:00:00,Home
123,805,184.87,2021-01-06 02:00:00,Electronics
124,2147,44.97,2021-01-06 03:00:00,Books
125,2732,108.02,2021-01-06 04:00:00,Books
126,1896,63.64,2021-01-06 05:00:00,Clothing
127,2774,22.18,2021-01-06 06:00:00,Beauty
128,1571,92.05,2021-01-06 07:00:00,Books
129,961,6.26,2021-01-06 08:00:00,Clothing
130,2661,53.33,2021-01-06 09:00:00,Beauty
131,1486,79.1,2021-01-06 10:00:00,Electronics
132,2691,57.28,2021-01-06 11:00:00,Clothing
133,1029,138.1,2021-01-06 12:00:00,Beauty
134,503,175.98,2021-01-06 13:00:00,Home
135,2815,147.51,2021-01-06 14:00:00,Home
136,398,3.96,2021-01-06 15:00:00,Books
137,871,21.58,2021-01-06 16:00:00,Beauty
138,2843,76.92,2021-01-06 17:00:00,Home
139,393,273.06,2021-01-06 18:00:00,Books
140,207,180.15,2021-01-06 19:00:00,Clothing
141,1039,184.85,2021-01-06 20:00:00,Clothing
142,1882,36.13,2021-01-06 21:00:00,Beauty
143,2940,56.12,2021-01-06 22:00:00,Beauty
144,1485,63.62,2021-01-06 23:00:00,Beauty
145,864,17.12,2021-01-07 00:00:00,Beauty
146,2791,3.16,2021-01-07 01:00:00,Home
147,564,293.56,2021-01-07 02:00:00,Home
148,1021,27.54,2021-01-07 03:00:00,Books
149,96,27.44,2021-01-07 04:00:00,Home
150,1924,8.71,2021-01-07 05:00:00,Clothing
151,1758,263.82,2021-01-07 06:00:00,Books
152,2533,86.69,2021-01-07 07:00:00,Home
153,2279,109.97,2021-01-07 08:00:00,Beauty
154,2797,242.56,2021-01-07 09:00:00,Home
155,1679,42.41,2021-01-07 10:00:00,Electronics
156,541,97.16,2021-01-07 11:00:00,Books
157,1060,3.96,2021-01-07 12:00:00,Home
158,2573,20.67,2021-01-07 13:00:00,Home
159,1184,177.93,2021-01-07 14:00:00,Clothing
160,1723,145.57,2021-01-07 15:00:00,Beauty
161,1820,43.18,2021-01-07 16:00:00,Beauty
162,2626,47.29,2021-01-07 17:00:00,Clothing
163,2730,76.26,2021-01-07 18:00:00,Clothing
164,2605,0.02,2021-01-07 19:00:00,Electronics
165,1598,27.61,2021-01-07 20:00:00,Books
166,2694,23.35,2021-01-07 21:00:00,Beauty
167,796,28.83,2021-01-07 22:00:00,Clothing
168,1052,163.94,2021-01-07 23:00:00,Clothing
169,1644,32.81,2021-01-08 00:00:00,Books
170,1364,21.26,2021-01-08 01:00:00,Clothing
171,1982,70.17,2021-01-08 02:00:00,Electronics
172,1355,200.73,2021-01-08 03:00:00,Books
173,1664,27.62,2021-01-08 04:00:00,Electronics
174,1530,8.18,2021-01-08 05:00:00,Home
175,2039,44.07,2021-01-08 06:00:00,Beauty
176,1497,137.69,2021-01-08 07:00:00,Clothing
177,2238,80.0,2021-01-08 08:00:00,Books
178,1409,169.71,2021-01-08 09:00:00,Electronics
179,1401,320.87,2021-01-08 10:00:00,Beauty
180,1307,157.34,2021-01-08 11:00:00,Beauty
181,2681,92.58,2021-01-08 12:00:00,Clothing
182,2676,67.99,2021-01-08 13:00:00,Beauty
183,973,4.09,2021-01-08 14:00:00,Clothing
184,1769,415.55,2021-01-08 15:00:00,Home
185,1283,48.37,2021-01-08 16:00:00,Clothing
186,710,16.51,2021-01-08 17:00:00,Electronics
187,1480,109.87,2021-01-08 18:00:00,Beauty
188,1435,33.45,2021-01-08 19:00:00,Beauty
189,649,88.14,2021-01-08 20:00:00,Beauty
190,318,88.37,2021-01-08 21:00:00,Clothing
191,1258,59.01,2021-01-08 22:00:00,Books
192,684,180.86,2021-01-08 23:00:00,Clothing
193,664,30.78,2021-01-09 00:00:00,Electronics
194,1999,59.54,2021-01-09 01:00:00,Clothing
195,1632,77.15,2021-01-09 02:00:00,Beauty
196,1496,108.95,2021-01-09 03:00:00,Home
197,1137,153.23,2021-01-09 04:00:00,Electronics
198,1854,50.22,2021-01-09 05:00:00,Home
199,1521,103.86,2021-01-09 06:00:00,Electronics
200,2490,16.32,2021-01-09 07:00:00,Electronics
201,564,269.78,2021-01-09 08:00:00,Beauty
202,1292,48.3,2021-01-09 09:00:00,Clothing
203,1637,130.76,2021-01-09 10:00:00,Beauty
204,3000,2.06,2021-01-09 11:00:00,Beauty
205,699,22.96,2021-01-09 12:00:00,Beauty
206,2161,66.76,2021-01-09 13:00:00,Home
207,2,210.58,2021-01-09 14:00:00,Electronics
208,642,74.92,2021-01-09 15:00:00,Books
209,2268,265.74,2021-01-09 16:00:00,Clothing
210,1590,66.13,2021-01-09 17:00:00,Beauty
211,855,67.42,2021-01-09 18:00:00,Electronics
212,1760,12.75,2021-01-09 19:00:00,Clothing
213,2433,162.28,2021-01-09 20:00:00,Books
214,1662,28.36,2021-01-09 21:00:00,Books
215,1154,229.87,2021-01-09 22:00:00,Beauty
216,1077,241.71,2021-01-09 23:00:00,Books
217,1708,287.02,2021-01-10 00:00:00,Books
218,2778,73.44,2021-01-10 01:00:00,Clothing
219,1696,113.04,2021-01-10 02:00:00,Clothing
220,1734,150.74,2021-01-10 03:00:00,Beauty
221,1440,14.04,2021-01-10 04:00:00,Electronics
222,2295,91.87,2021-01-10 05:00:00,Beauty
223,836,3.49,2021-01-10 06:00:00,Home
224,203,68.83,2021-01-10 07:00:00,Books
225,123,16.82,2021-01-10 08:00:00,Electronics
226,401,20.2,2021-01-10 09:00:00,Clothing
227,767,45.42,2021-01-10 10:00:00,Home
228,294,56.64,2021-01-10 11:00:00,Home
229,2328,97.6,2021-01-10 12:00:00,Books
230,2932,7.73,2021-01-10 13:00:00,Clothing
231,198,70.06,2021-01-10 14:00:00,Electronics
232,1931,20.17,2021-01-10 15:00:00,Clothing
233,2800,85.33,2021-01-10 16:00:00,Books
234,2192,101.45,2021-01-10 17:00:00,Home
235,609,81.35,2021-01-10 18:00:00,Books
236,1148,134.05,2021-01-10 19:00:00,Beauty
237,187,40.89,2021-01-10 20:00:00,Home
238,2512,144.86,2021-01-10 21:00:00,Books
239,1795,56.7,2021-01-10 22:00:00,Electronics
240,660,66.2,2021-01-10 23:00:00,Electronics
241,2812,104.44,2021-01-11 00:00:00,Electronics
242,1956,1.85,2021-01-11 01:00:00,Beauty
243,2451,106.13,2021-01-11 02:00:00,Clothing
244,1370,96.39,2021-01-11 03:00:00,Electronics
245,1987,37.08,2021-01-11 04:00:00,Beauty
246,1535,8.97,2021-01-11 05:00:00,Electronics
247,147,9.53,2021-01-11 06:00:00,Beauty
248,2912,256.69,2021-01-11 07:00:00,Electronics
249,1735,116.89,2021-01-11 08:00:00,Clothing
250,1844,13.59,2021-01-11 09:00:00,Books
251,489,44.12,2021-01-11 10:00:00,Electronics
252,2977,89.77,2021-01-11 11:00:00,Books
253,1960,180.53,2021-01-11 12:00:00,Electronics
254,1664,4.46,2021-01-11 13:00:00,Clothing
255,2599,27.0,2021-01-11 14:00:00,Books
256,2386,220.5,2021-01-11 15:00:00,Beauty
257,2920,0.92,2021-01-11 16:00:00,Electronics
258,641,22.49,2021-01-11 17:00:00,Electronics
259,1803,319.48,2021-01-11 18:00:00,Beauty
260,2521,95.04,2021-01-11 19:00:00,Clothing
261,1970,30.34,2021-01-11 20:00:00,Home
262,2199,6.93,2021-01-11 21:00:00,Electronics
263,1439,2.86,2021-01-11 22:00:00,Beauty
264,1635,28.07,2021-01-11 23:00:00,Home
265,263,213.27,2021-01-12 00:00:00,Electronics
266,1788,53.77,2021-01-12 01:00:00,Books
267,2192,127.42,2021-01-12 02:00:00,Beauty
268,2394,250.45,2021-01-12 03:00:00,Books
269,624,52.43,2021-01-12 04:00:00,Clothing
270,1017,21.23,2021-01-12 05:00:00,Home
271,881,72.8,2021-01-12 06:00:00,Beauty
272,2050,238.69,2021-01-12 07:00:00,Electronics
273,2945,163.16,2021-01-12 08:00:00,Electronics
274,1328,6.81,2021-01-12 09:00:00,Home
275,2302,117.95,2021-01-12 10:00:00,Books
276,453,84.84,2021-01-12 11:00:00,Books
277,1184,238.01,2021-01-12 12:00:00,Beauty
278,2057,13.07,2021-01-12 13:00:00,Beauty
279,1683,76.36,2021-01-12 14:00:00,Books
280,2864,211.58,2021-01-12 15:00:00,Beauty
281,2256,52.77,2021-01-12 16:00:00,Books
282,1155,65.78,2021-01-12 17:00:00,Home
283,404,7.31,2021-01-12 18:00:00,Beauty
284,2200,32.59,2021-01-12 19:00:00,Books
285,2102,39.23,2021-01-12 20:00:00,Beauty
286,1697,290.27,2021-01-12 21:00:00,Electronics
287,628,33.22,2021-01-12 22:00:00,Electronics
288,587,61.78,2021-01-12 23:00:00,Clothing
289,1649,111.26,2021-01-13 00:00:00,Books
290,1444,17.7,2021-01-13 01:00:00,Clothing
291,1446,66.64,2021-01-13 02:00:00,Books
292,104,134.15,2021-01-13 03:00:00,Beauty
293,254,201.63,2021-01-13 04:00:00,Books
294,2558,98.42,2021-01-13 05:00:00,Electronics
295,1497,110.58,2021-01-13 06:00:00,Beauty
296,99,13.5,2021-01-13 07:00:00,Electronics
297,2201,291.46,2021-01-13 08:00:00,Beauty
298,1885,14.22,2021-01-13 09:00:00,Books
299,2962,149.02,2021-01-13 10:00:00,Books
300,1920,30.76,2021-01-13 11:00:00,Electronics
301,878,271.2,2021-01-13 12:00:00,Home
302,338,127.28,2021-01-13 13:00:00,Books
303,2870,140.17,2021-01-13 14:00:00,Home
304,957,24.73,2021-01-13 15:00:00,Beauty
305,1705,58.53,2021-01-13 16:00:00,Home
306,161,96.18,2021-01-13 17:00:00,Electronics
307,1604,146.96,2021-01-13 18:00:00,Clothing
308,2849,10.98,2021-01-13 19:00:00,Clothing
309,398,327.98,2021-01-13 20:00:00,Electronics
310,1301,220.93,2021-01-13 21:00:00,Clothing
311,816,31.52,2021-01-13 22:00:00,Electronics
312,1528,173.03,2021-01-13 23:00:00,Books
313,1920,73.05,2021-01-14 00:00:00,Home
314,1416,61.95,2021-01-14 01:00:00,Clothing
315,1159,37.75,2021-01-14 02:00:00,Books
316,1219,86.98,2021-01-14 03:00:00,Clothing
317,401,130.89,2021-01-14 04:00:00,Beauty
318,640,52.92,2021-01-14 05:00:00,Electronics
319,2736,99.21,2021-01-14 06:00:00,Electronics
320,460,120.17,2021-01-14 07:00:00,Books
321,955,124.18,2021-01-14 08:00:00,Beauty
322,470,5.34,2021-01-14 09:00:00,Home
323,1046,196.43,2021-01-14 10:00:00,Beauty
324,2798,61.3,2021-01-14 11:00:00,Beauty
325,1694,30.44,2021-01-14 12:00:00,Home
326,2086,27.68,2021-01-14 13:00:00,Home
327,2278,65.97,2021-01-14 14:00:00,Beauty
328,563,217.89,2021-01-14 15:00:00,Clothing
329,2486,47.54,2021-01-14 16:00:00,Clothing
330,1800,138.52,2021-01-14 17:00:00,Beauty
331,2075,10.18,2021-01-14 18:00:00,Clothing
332,226,64.64,2021-01-14 19:00:00,Home
333,798,478.98,2021-01-14 20:00:00,Home
334,2332,147.16,2021-01-14 21:00:00,Clothing
335,2927,23.64,2021-01-14 22:00:00,Home
336,960,69.6,2021-01-14 23:00:00,Electronics
337,1505,26.61,2021-01-15 00:00:00,Home
338,453,52.69,2021-01-15 01:00:00,Beauty
339,816,151.45,2021-01-15 02:00:00,Books
340,659,147.5,2021-01-15 03:00:00,Clothing
341,547,25.89,2021-01-15 04:00:00,Clothing
342,1216,255.39,2021-01-15 05:00:00,Home
343,17,89.79,2021-01-15 06:00:00,Home
344,1244,47.79,2021-01-15 07:00:00,Books
345,2206,69.7,2021-01-15 08:00:00,Books
346,2525,92.9,2021-01-15 09:00:00,Beauty
347,1070,82.07,2021-01-15 10:00:00,Electronics
348,2566,66.63,2021-01-15 11:00:00,Beauty
349,2147,70.31,2021-01-15 12:00:00,Clothing
350,1769,19.41,2021-01-15 13:00:00,Home
351,1061,167.52,2021-01-15 14:00:00,Beauty
352,2328,78.04,2021-01-15 15:00:00,Home
353,2545,14.05,2021-01-15 16:00:00,Home
354,302,145.31,2021-01-15 17:00:00,Beauty
355,181,269.48,2021-01-15 18:00:00,Beauty
356,607,294.33,2021-01-15 19:00:00,Books
357,700,46.05,2021-01-15 20:00:00,Electronics
358,993,14.56,2021-01-15 21:00:00,Books
359,1140,73.06,2021-01-15 22:00:00,Electronics
360,191,11.95,2021-01-15 23:00:00,Beauty
361,2301,271.79,2021-01-16 00:00:00,Electronics
362,981,20.28,2021-01-16 01:00:00,Clothing
363,2976,29.14,2021-01-16 02:00:00,Books
364,2007,52.19,2021-01-16 03:00:00,Books
365,1185,48.32,2021-01-16 04:00:00,Books
366,128,158.31,2021-01-16 05:00:00,Home
367,2066,60.94,2021-01-16 06:00:00,Home
368,1817,18.73,2021-01-16 07:00:00,Beauty
369,1759,31.09,2021-01-16 08:00:00,Beauty
370,2614,71.15,2021-01-16 09:00:00,Home
371,570,15.95,2021-01-16 10:00:00,Books
372,1347,94.59,2021-01-16 11:00:00,Home
373,1896,83.41,2021-01-16 12:00:00,Electronics
374,2734,125.42,2021-01-16 13:00:00,Books
375,626,277.59,2021-01-16 14:00:00,Home
376,2902,243.33,2021-01-16 15:00:00,Beauty
377,1687,292.02,2021-01-16 16:00:00,Home
378,155,28.07,2021-01-16 17:00:00,Clothing
379,2538,14.11,2021-01-16 18:00:00,Home
380,1410,35.99,2021-01-16 19:00:00,Books
381,785,225.46,2021-01-16 20:00:00,Home
382,246,357.75,2021-01-16 21:00:00,Beauty
383,1501,196.13,2021-01-16 22:00:00,Electronics
384,1706,11.66,2021-01-16 23:00:00,Clothing
385,2807,294.56,2021-01-17 00:00:00,Books
386,538,55.05,2021-01-17 01:00:00,Beauty
387,1891,0.94,2021-01-17 02:00:00,Clothing
388,1842,58.41,2021-01-17 03:00:00,Home
389,921,4.72,2021-01-17 04:00:00,Clothing
390,2456,78.5,2021-01-17 05:00:00,Electronics
391,525,41.33,2021-01-17 06:00:00,Clothing
392,2876,64.14,2021-01-17 07:00:00,Clothing
393,1530,94.98,2021-01-17 08:00:00,Home
394,2951,203.1,2021-01-17 09:00:00,Home
395,36,108.44,2021-01-17 10:00:00,Books
396,685,56.92,2021-01-17 11:00:00,Home
397,20,171.16,2021-01-17 12:00:00,Clothing
398,2369,236.0,2021-01-17 13:00:00,Electronics
399,2560,12.76,2021-01-17 14:00:00,Home
400,400,75.91,2021-01-17 15:00:00,Books
401,2702,33.48,2021-01-17 16:00:00,Books
402,972,4.82,2021-01-17 17:00:00,Clothing
403,1907,110.43,2021-01-17 18:00:00,Home
404,2519,198.61,2021-01-17 19:00:00,Home
405,1167,17.78,2021-01-17 20:00:00,Books
406,1116,167.35,2021-01-17 21:00:00,Home
407,834,192.0,2021-01-17 22:00:00,Clothing
408,1824,245.74,2021-01-17 23:00:00,Electronics
409,2775,30.83,2021-01-18 00:00:00,Clothing
410,1983,234.29,2021-01-18 01:00:00,Home
411,854,38.66,2021-01-18 02:00:00,Clothing
412,51,80.37,2021-01-18 03:00:00,Beauty
413,575,5.18,2021-01-18 04:00:00,Beauty
414,1149,4.49,2021-01-18 05:00:00,Home
415,2198,127.43,2021-01-18 06:00:00,Home
416,2362,58.79,2021-01-18 07:00:00,Electronics
417,2618,29.61,2021-01-18 08:00:00,Clothing
418,2353,21.12,2021-01-18 09:00:00,Electronics
419,1716,110.85,2021-01-18 10:00:00,Home
420,682,0.04,2021-01-18 11:00:00,Home
421,838,163.93,2021-01-18 12:00:00,Books
422,1078,8.26,2021-01-18 13:00:00,Electronics
423,2492,21.26,2021-01-18 14:00:00,Home
424,2661,48.81,2021-01-18 15:00:00,Beauty
425,2312,66.33,2021-01-18 16:00:00,Books
426,1596,43.85,2021-01-18 17:00:00,Clothing
427,5,38.67,2021-01-18 18:00:00,Books
428,1127,332.19,2021-01-18 19:00:00,Clothing
429,1220,102.6,2021-01-18 20:00:00,Beauty
430,774,2.37,2021-01-18 21:00:00,Clothing
431,877,56.24,2021-01-18 22:00:00,Electronics
432,992,207.95,2021-01-18 23:00:00,Clothing
433,2932,35.88,2021-01-19 00:00:00,Clothing
434,47,9.93,2021-01-19 01:00:00,Books
435,2915,142.04,2021-01-19 02:00:00,Beauty
436,2871,93.14,2021-01-19 03:00:00,Clothing
437,2984,84.47,2021-01-19 04:00:00,Electronics
438,2704,5.51,2021-01-19 05:00:00,Books
439,269,15.14,2021-01-19 06:00:00,Beauty
440,370,97.43,2021-01-19 07:00:00,Beauty
441,636,23.3,2021-01-19 08:00:00,Home
442,1130,70.13,2021-01-19 09:00:00,Electronics
443,1694,78.72,2021-01-19 10:00:00,Books
444,1683,33.34,2021-01-19 11:00:00,Books
445,657,296.47,2021-01-19 12:00:00,Electronics
446,120,184.81,2021-01-19 13:00:00,Beauty
447,831,128.15,2021-01-19 14:00:00,Clothing
448,1811,8.12,2021-01-19 15:00:00,Electronics
449,1082,11.22,2021-01-19 16:00:00,Books
450,1975,67.88,2021-01-19 17:00:00,Electronics
451,1370,17.52,2021-01-19 18:00:00,Beauty
452,741,382.89,2021-01-19 19:00:00,Home
453,117,17.26,2021-01-19 20:00:00,Home
454,1854,66.84,2021-01-19 21:00:00,Clothing
455,2839,45.27,2021-01-19 22:00:00,Clothing
456,1151,101.99,2021-01-19 23:00:00,Beauty
457,1932,13.82,2021-01-20 00:00:00,Clothing
458,1013,56.27,2021-01-20 01:00:00,Home
459,1665,32.12,2021-01-20 02:00:00,Beauty
460,1082,218.7,2021-01-20 03:00:00,Beauty
461,634,4.14,2021-01-20 04:00:00,Beauty
462,513,245.02,2021-01-20 05:00:00,Electronics
463,2850,178.97,2021-01-20 06:00:00,Clothing
464,1120,35.32,2021-01-20 07:00:00,Books
465,1142,155.73,2021-01-20 08:00:00,Home
466,560,3.17,2021-01-20 09:00:00,Clothing
467,488,340.72,2021-01-20 10:00:00,Home
468,897,74.78,2021-01-20 11:00:00,Clothing
469,1213,36.14,2021-01-20 12:00:00,Books
470,704,45.03,2021-01-20 13:00:00,Home
471,1471,6.87,2021-01-20 14:00:00,Books
472,581,454.21,2021-01-20 15:00:00,Home
473,2838,4.01,2021-01-20 16:00:00,Electronics
474,2909,106.39,2021-01-20 17:00:00,Electronics
475,2295,58.47,2021-01-20 18:00:00,Home
476,154,297.43,2021-01-20 19:00:00,Home
477,1680,28.24,2021-01-20 20:00:00,Books
478,997,75.95,2021-01-20 21:00:00,Beauty
479,2745,65.85,2021-01-20 22:00:00,Home
480,1244,121.36,2021-01-20 23:00:00,Clothing
481,1093,7.04,2021-01-21 00:00:00,Clothing
482,1009,21.54,2021-01-21 01:00:00,Clothing
483,2142,24.15,2021-01-21 02:00:00,Electronics
484,1774,134.0,2021-01-21 03:00:00,Books
485,958,20.97,2021-01-21 04:00:00,Electronics
486,453,85.21,2021-01-21 05:00:00,Clothing
487,1228,24.24,2021-01-21 06:00:00,Home
488,2960,197.78,2021-01-21 07:00:00,Clothing
489,2266,285.05,2021-01-21 08:00:00,Home
490,2522,73.08,2021-01-21 09:00:00,Books
491,2480,43.43,2021-01-21 10:00:00,Beauty
492,2389,26.66,2021-01-21 11:00:00,Home
493,551,5.11,2021-01-21 12:00:00,Electronics
494,1636,31.27,2021-01-21 13:00:00,Clothing
495,1313,106.2,2021-01-21 14:00:00,Clothing
496,1758,76.27,2021-01-21 15:00:00,Clothing
497,357,288.31,2021-01-21 16:00:00,Home
498,2071,50.46,2021-01-21 17:00:00,Books
499,1786,118.37,2021-01-21 18:00:00,Home
500,2570,67.2,2021-01-21 19:00:00,Electronics
501,1782,71.86,2021-01-21 20:00:00,Clothing
502,2850,31.17,2021-01-21 21:00:00,Home
503,2810,60.69,2021-01-21 22:00:00,Clothing
504,2490,63.64,2021-01-21 23:00:00,Electronics
505,1632,122.64,2021-01-22 00:00:00,Beauty
506,2817,282.41,2021-01-22 01:00:00,Beauty
507,1016,39.95,2021-01-22 02:00:00,Beauty
508,1349,4.31,2021-01-22 03:00:00,Clothing
509,516,68.58,2021-01-22 04:00:00,Home
510,2840,78.63,2021-01-22 05:00:00,Clothing
511,336,18.45,2021-01-22 06:00:00,Books
512,1783,142.91,2021-01-22 07:00:00,Home
513,2306,419.5,2021-01-22 08:00:00,Electronics
514,497,291.46,2021-01-22 09:00:00,Beauty
515,896,21.95,2021-01-22 10:00:00,Home
516,2208,208.24,2021-01-22 11:00:00,Home
517,852,121.91,2021-01-22 12:00:00,Beauty
518,1688,60.49,2021-01-22 13:00:00,Electronics
519,1932,77.79,2021-01-22 14:00:00,Clothing
520,2738,189.45,2021-01-22 15:00:00,Clothing
521,2428,65.42,2021-01-22 16:00:00,Home
522,1569,46.71,2021-01-22 17:00:00,Beauty
523,957,67.97,2021-01-22 18:00:00,Books
524,2739,86.54,2021-01-22 19:00:00,Electronics
525,1637,20.96,2021-01-22 20:00:00,Clothing
526,1292,231.17,2021-01-22 21:00:00,Electronics
527,1441,112.14,2021-01-22 22:00:00,Electronics
528,1192,100.31,2021-01-22 23:00:00,Electronics
529,1067,10.48,2021-01-23 00:00:00,Beauty
530,285,92.68,2021-01-23 01:00:00,Beauty
531,2445,12.89,2021-01-23 02:00:00,Beauty
532,12,8.2,2021-01-23 03:00:00,Home
533,1631,74.93,2021-01-23 04:00:00,Beauty
534,2547,51.55,2021-01-23 05:00:00,Home
535,754,88.87,2021-01-23 06:00:00,Clothing
536,2083,9.35,2021-01-23 07:00:00,Clothing
537,2775,56.38,2021-01-23 08:00:00,Clothing
