Age,Annual_Income,Credit_Score,Total_Purchase,Account_Age,Has_Defaulted
25,47881,751,87,6,1
31,119962,838,93,6,0
26,133865,759,72,2,1
29,53111,321,39,28,0
30,73676,530,68,15,0
61,63967,452,25,20,1
38,92596,535,52,6,1
48,141933,698,20,4,1
54,124771,765,19,3,0
57,108062,845,36,29,1
25,131377,382,1,14,1
63,141834,495,99,12,1
22,107002,352,52,26,1
66,95688,518,95,19,0
36,94808,650,77,14,1
50,104343,500,26,14,1
31,63776,389,76,24,0
28,105232,716,69,21,1
41,136276,653,25,11,1
35,55651,709,75,15,1
25,60423,553,13,17,0
42,49539,542,52,9,1
28,122665,647,80,27,1
46,50163,732,87,2,0
38,126770,456,15,5,1
50,48883,815,60,26,1
30,48798,847,9,14,1
19,88944,596,95,19,0
48,100683,384,83,19,0
59,110660,769,36,14,1
42,106187,632,9,6,0
36,95896,454,93,12,1
69,102078,836,37,24,0
51,86977,310,16,27,1
20,149396,750,48,12,0
62,109948,336,50,1,1
46,119051,782,20,4,1
57,142394,621,94,5,1
52,142089,431,86,23,0
28,120619,752,84,14,1
50,59754,457,18,26,0
59,93086,801,90,7,1
36,86049,620,24,19,0
40,128823,474,31,19,0
24,125783,687,4,25,0
20,143407,516,64,6,0
25,137502,784,51,13,1
57,129074,812,83,21,0
66,147862,611,77,19,1
33,105320,638,32,24,1
23,57435,599,38,25,0
35,87057,528,94,27,1
60,76112,836,56,27,1
38,111212,312,9,22,1
66,110024,774,56,12,0
40,94385,632,73,13,1
55,47049,745,74,14,1
31,108783,335,11,13,0
67,124350,460,20,1,0
68,123322,337,8,4,0
51,140906,826,45,14,0
38,94175,812,8,5,1
28,39510,577,28,23,0
50,82749,443,94,13,1
43,100389,478,2,17,0
39,87210,461,17,2,0
57,104699,460,27,25,0
50,47194,348,52,4,1
37,77402,314,92,29,0
43,71398,769,32,18,0
67,122840,722,18,3,1
32,132368,476,49,18,0
31,145512,727,3,9,1
38,58258,844,3,27,0
61,51754,574,52,22,0
24,104949,462,63,25,0
31,41880,491,45,9,0
33,137136,324,3,16,0
42,44480,706,21,21,1
27,83629,589,30,26,1
20,136546,662,49,12,0
25,43488,630,60,13,0
23,141243,816,13,15,1
54,88702,640,35,24,1
55,122012,517,4,14,1
39,105893,565,73,14,0
58,126375,551,34,25,0
31,128420,596,41,19,1
45,32318,666,91,15,0
67,60751,558,51,16,1
67,42064,467,63,15,1
65,72338,762,97,1,1
31,132472,810,4,2,0
58,148316,500,4,4,1
32,114606,393,1,21,1
63,146634,603,64,4,0
41,143565,417,34,14,1
34,32911,821,50,25,0
46,124752,727,26,27,1
60,149030,317,8,13,0
63,79082,559,98,9,0
21,98874,372,82,17,1
20,67403,531,94,5,1
32,59651,416,25,19,1
64,109846,680,63,5,1
18,35293,669,44,3,0
47,45029,813,54,9,0
29,80092,635,58,8,0
53,130557,677,62,8,1
47,78353,717,30,10,1
51,97231,574,35,6,0
20,74412,455,70,16,1
38,122304,555,70,13,1
37,144918,742,46,25,1
66,104930,339,15,25,1
50,81801,655,21,24,0
46,53920,363,72,6,1
36,69910,685,23,9,1
49,132663,300,37,10,0
46,102062,546,44,15,0
48,129449,771,60,19,1
28,122657,804,76,5,1
26,31211,794,74,13,0
63,46762,657,44,18,1
53,57058,406,69,19,0
50,114238,814,61,20,1
26,147337,524,23,24,1
38,124521,445,80,20,1
31,103259,491,56,23,0
68,45914,684,71,16,0
33,73614,595,32,23,1
59,81661,710,92,28,1
18,134604,705,14,13,1
62,115942,576,50,7,0
37,91892,451,5,2,0
42,92057,539,32,8,1
67,30166,842,29,5,1
60,125804,715,74,3,1
38,130890,562,20,2,0
62,35089,455,20,27,1
33,140055,704,50,17,0
48,139075,744,48,17,0
45,56864,673,88,1,0
32,79629,773,9,7,1
69,68763,652,30,16,1
37,76651,378,27,22,0
44,37971,702,99,2,0
61,83245,547,97,4,1
40,123145,643,66,23,1
25,130443,363,35,11,0
53,69956,665,71,3,1
65,67060,387,39,27,1
64,117080,745,81,9,1
69,145659,507,43,14,0
52,145955,614,2,29,0
54,107902,748,91,2,1
54,136894,783,25,15,0
50,134239,396,74,21,0
37,56569,601,47,27,1
21,130992,644,8,10,0
42,133147,660,77,23,1
37,66631,447,8,27,1
55,51464,794,79,8,1
48,129056,624,80,4,0
56,62484,574,32,13,1
65,113302,733,22,9,1
57,143784,425,91,12,1
23,51037,598,14,1,0
33,122211,417,58,2,1
67,104410,429,67,22,0
41,44681,667,29,20,0
50,148178,776,5,26,0
60,34053,673,19,9,0
28,125464,730,66,6,0
20,94084,593,15,17,1
42,56426,646,91,17,0
52,112882,746,82,5,1
48,70250,846,67,14,0
35,121736,610,48,20,0
22,91783,431,1,21,0
18,144606,556,44,10,1
32,147734,794,10,15,0
35,129775,492,21,21,1
57,93861,305,32,3,0
53,113396,492,9,11,0
35,55724,761,96,27,0
46,114268,736,42,29,1
40,60496,404,74,23,1
56,120745,351,91,24,1
59,30059,847,61,26,0
28,43334,656,38,28,0
31,97207,625,79,9,0
24,37961,669,53,21,1
43,133632,550,80,24,0
56,109937,509,43,22,1
66,77740,810,59,2,1
66,149000,465,72,7,0
68,51919,833,62,26,0
62,108900,588,82,26,1
59,110537,648,46,18,0
18,105268,433,36,10,1
40,113688,705,14,17,1
34,54642,481,96,5,0
37,81158,608,32,25,1
27,129862,754,49,29,0
66,101582,617,10,19,0
46,140206,454,81,14,0
69,110617,366,59,6,1
65,71657,387,61,21,1
28,147067,847,33,9,1
22,71381,454,66,2,0
41,41706,774,45,11,0
32,54993,365,85,13,0
39,80744,518,93,19,1
64,66595,633,54,4,0
21,59650,628,86,11,0
42,87338,407,32,10,1
34,148688,616,61,5,1
64,105337,717,43,29,0
33,58669,485,42,1,0
25,80776,768,26,7,0
32,94551,585,34,1,1
31,41073,788,95,14,1
33,48392,602,49,23,1
43,62713,735,24,11,0
38,141913,368,82,12,1
39,103402,300,27,14,0
68,82427,437,46,20,1
64,80202,715,93,29,0
47,33548,342,32,29,0
62,118732,428,79,10,1
55,40872,605,37,14,0
40,101240,816,96,3,0
45,110775,334,78,6,1
30,40231,486,27,6,1
30,51707,604,4,6,0
44,105702,716,75,25,0
30,89151,429,10,16,0
25,131053,481,81,15,0
41,96774,814,6,11,1
57,32839,831,39,16,0
61,80835,767,56,28,1
30,101882,706,78,18,1
68,79176,659,47,23,0
56,55317,593,47,5,1
45,84133,401,20,22,1
66,78471,398,21,7,0
23,117363,683,23,9,1
52,130020,649,53,29,0
51,108091,492,65,9,1
61,51776,595,54,3,0
44,130887,515,78,18,1
23,124375,494,93,9,0
27,106069,835,36,15,0
43,30162,444,65,1,1
45,44493,319,39,8,1
61,42345,558,9,26,1
19,101391,796,97,25,0
36,50227,747,41,21,0
48,106815,660,89,11,0
50,120870,741,86,20,0
44,46642,456,3,28,0
38,68019,774,72,14,0
48,145734,480,21,3,1
57,90885,372,79,11,1
18,123949,461,55,15,1
40,65027,519,50,3,0
52,95290,682,34,10,0
21,123880,465,37,8,0
24,110604,503,11,2,1
30,135896,775,80,20,1
57,75991,460,40,5,1
56,74204,804,27,6,1
37,92146,794,26,8,0
65,67477,433,30,18,1
66,52090,731,66,11,1
24,97819,320,53,1,1
31,141308,762,54,22,1
54,95436,432,68,26,1
41,46194,559,54,10,1
40,139423,438,32,9,0
20,147898,407,49,28,0
46,77808,339,11,1,1
60,84590,548,67,4,0
49,57466,573,98,27,0
27,74650,475,78,24,0
59,83634,501,51,27,1
42,37654,582,79,21,1
63,67015,384,82,2,0
47,114090,580,62,17,1
30,115881,364,38,12,1
36,118375,510,65,10,1
60,39905,469,4,21,0
29,123181,706,65,9,0
59,76966,412,69,21,0
54,131584,773,95,5,1
66,42164,585,50,20,1
34,139936,534,53,11,0
48,88476,306,99,26,1
69,101383,353,56,24,0
60,62122,605,99,20,1
38,125588,420,78,20,0
53,86453,672,21,4,0
59,103398,616,24,12,1
35,122765,706,55,5,0
20,143263,328,72,29,0
39,95840,486,32,17,1
47,132779,793,8,27,0
54,127026,417,3,27,0
63,37987,308,36,20,1
64,42828,832,39,17,1
34,78725,784,64,2,1
45,80973,597,1,1,0
26,71404,649,30,12,1
46,131934,382,68,2,0
20,79297,642,20,7,0
53,46355,690,14,23,0
31,94988,565,57,28,0
59,131930,342,26,11,0
54,78111,360,29,25,0
54,144805,447,90,18,0
58,93010,403,85,1,1
36,106916,582,32,23,1
51,78730,369,12,14,1
56,72259,704,72,13,0
69,37953,668,28,24,1
64,109963,783,11,24,0
58,95794,676,64,1,0
43,61847,747,83,29,1
57,79002,474,53,22,0
66,116237,345,23,14,1
55,69777,746,91,8,1
20,102259,477,2,26,0
52,42025,394,76,27,0
46,82107,353,40,24,0
32,76021,571,6,4,1
29,51051,548,49,24,1
60,44736,354,4,12,0
44,83062,533,77,18,0
58,138291,354,82,28,0
39,141526,673,46,7,0
34,46295,727,31,17,0
46,111215,567,62,16,0
55,96186,412,28,4,1
59,61055,357,91,17,0
63,88638,408,25,22,0
58,108975,647,23,28,0
60,63439,652,62,28,1
29,85904,759,85,29,0
40,47121,750,74,10,0
24,87629,606,19,22,1
50,149188,822,71,20,1
32,67733,761,6,8,1
54,39844,360,46,8,1
41,89575,687,24,26,0
29,87446,559,33,18,0
53,121806,524,26,10,0
50,122116,541,38,15,1
64,61968,670,91,29,1
45,109339,308,73,3,0
67,78802,481,78,11,0
56,40343,702,7,28,1
18,76213,811,35,9,0
40,75307,773,28,3,0
51,56744,507,63,29,1
24,141224,455,67,20,0
54,60090,626,85,13,0
36,135525,562,35,11,0
45,67725,514,59,25,1
46,49385,356,3,12,0
55,31750,787,74,23,0
56,109764,845,52,23,0
68,85854,766,90,21,0
48,54992,598,9,26,0
68,131282,380,76,17,1
64,34023,819,72,26,0
25,139684,363,51,3,1
39,43864,717,5,27,0
34,125173,583,49,20,0
57,47421,594,10,15,0
47,65018,526,78,26,1
29,114890,541,65,4,0
32,79912,786,64,25,1
58,55527,690,21,18,0
48,137844,357,77,5,0
26,52613,538,33,18,1
58,120439,810,37,18,1
66,54820,318,76,2,0
48,93764,513,8,14,1
41,89269,447,8,19,1
20,82954,650,80,19,0
46,64164,788,2,28,0
18,70761,328,88,28,0
57,110616,567,92,7,0
30,49016,379,22,8,0
35,139790,839,54,27,0
51,52812,340,38,3,0
28,68620,720,5,25,1
46,83750,583,57,3,1
59,36758,818,42,3,0
29,81477,633,14,7,0
23,32933,729,50,2,0
35,34090,310,43,19,1
23,89894,339,41,8,0
60,34481,314,15,8,1
40,51694,797,21,22,0
32,146917,442,54,20,0
41,76219,456,73,1,0
35,92612,606,31,21,0
28,40403,308,10,9,0
26,112588,440,38,17,1
66,85504,657,56,27,1
37,68158,561,48,16,0
30,111149,481,38,4,0
43,133727,550,58,9,1
31,96318,361,68,8,0
34,144549,476,87,15,1
22,96617,469,60,5,1
42,102803,335,75,13,1
45,106669,333,45,10,0
68,82941,510,25,4,1
22,86599,434,89,28,1
21,67751,437,20,1,1
30,62718,739,2,29,0
20,30323,470,52,16,1
30,103244,807,29,8,0
50,89875,825,45,15,1
50,40816,306,87,17,1
33,59557,586,32,3,1
54,103556,330,70,12,0
28,56411,648,80,2,1
30,34812,811,53,21,0
36,73830,332,81,5,0
48,86599,540,82,6,1
23,59955,844,73,18,1
34,141950,817,8,16,1
49,115449,511,53,28,1
50,130308,359,91,2,0
61,132454,835,3,2,0
62,71829,489,90,26,0
49,142285,792,68,9,0
61,53216,508,52,24,1
53,67288,839,46,26,0
62,136326,662,50,14,0
42,48213,708,78,12,1
33,143153,365,82,26,0
39,72159,374,33,2,0
37,79241,372,58,29,0
31,118908,709,29,16,1
51,112260,765,47,8,1
22,32671,576,78,8,1
57,147603,771,17,5,1
21,112058,483,89,1,0
52,43418,644,74,20,1
52,92942,834,79,24,1
60,143934,776,19,1,0
32,66722,737,76,23,0
36,38461,579,51,29,1
56,66562,333,90,17,1
56,131784,393,86,22,0
66,41168,394,19,26,1
35,91072,468,44,26,0
23,115582,447,1,17,1
56,56164,687,6,7,1
45,68168,335,59,11,1
26,41349,663,81,22,1
58,43960,535,85,9,0
23,71078,684,50,12,1
23,60532,434,10,19,0
25,33633,480,54,17,0
32,112187,388,19,15,0
55,58042,476,59,25,0
59,57502,644,79,26,0
32,74433,438,45,15,1
51,40379,737,70,17,0
45,89737,404,80,15,0
69,82135,686,12,1,1
31,144509,780,20,9,0
48,32493,312,36,20,1
61,88087,767,4,10,1
64,89380,592,8,11,1
27,59762,384,58,25,1
21,103650,834,54,3,1
21,67220,614,53,15,1
21,108924,550,14,6,0
51,96515,530,50,1,0
53,71671,360,94,11,1
34,111771,416,41,20,0
46,64156,558,99,8,0
55,103221,385,9,28,1
18,81872,487,39,29,0
55,120172,812,92,2,0
47,94553,822,27,27,1
36,35758,402,34,11,0
32,125606,593,82,6,0
57,136318,739,75,3,1
24,95534,683,58,14,0
46,92035,410,37,2,0
28,85814,579,65,8,0
50,46677,305,12,2,1
64,37848,332,17,20,0
47,64190,571,99,25,1
36,56277,451,62,19,1
54,125467,731,37,3,1
47,92119,535,42,13,1
57,137727,316,56,11,1
46,78588,805,5,22,0
47,100710,656,69,27,0
57,39804,793,56,5,1
44,129051,753,55,5,0
45,121919,388,25,8,1
60,86010,700,37,28,1
30,139098,549,61,9,1
35,36583,375,18,19,1
25,126447,409,6,11,0
45,55711,445,7,16,1
25,126828,633,31,6,1
37,110774,630,48,16,1
69,97261,429,14,29,0
50,107613,728,45,13,1
30,83354,513,9,2,1
56,135424,786,22,4,1
69,70922,744,46,4,1
50,105662,510,53,15,1
48,91767,407,53,28,0
40,33287,806,45,7,1
23,70457,718,97,15,1
45,116740,704,78,20,1
49,141482,707,52,4,0
59,106735,534,67,2,1
40,101616,354,20,18,1
30,131426,427,54,21,1
63,142141,389,84,8,1
40,79834,845,8,29,0
56,56681,337,85,16,0
36,136495,785,11,7,0
47,91832,724,93,29,0
47,149619,553,73,9,1
36,77479,383,4,8,0
49,129419,364,79,6,0
67,138963,507,34,27,1
52,147693,497,84,2,1
37,147438,591,18,2,1
47,88653,504,2,26,1
63,85611,775,61,21,0
61,41906,831,50,28,1
69,40136,710,43,14,0
40,60794,774,24,11,0
33,68053,430,15,28,1
25,37510,534,39,14,1
66,51790,748,96,14,1
46,101339,628,79,11,0
37,104480,594,28,27,0
45,144386,581,45,23,0
61,93302,698,9,1,1
37,63940,359,11,28,0
33,86531,638,52,6,1
24,74121,373,5,27,0
42,130412,831,85,6,0
40,137462,471,44,5,1
29,80996,724,8,19,1
55,73652,373,35,24,1
19,81323,349,38,19,1
47,108941,352,92,17,1
33,70030,789,40,17,1
69,88983,618,40,8,1
52,101300,534,65,22,1
40,113283,443,58,1,0
63,138558,482,18,14,1
69,87406,792,74,25,0
60,52134,308,5,20,1
40,95415,814,64,15,1
63,122154,437,64,18,1
57,77508,719,91,27,1
36,115202,334,20,14,1
58,48050,601,17,3,1
62,42276,526,98,2,1
34,107777,777,10,2,0
35,113443,356,36,14,0
61,58363,838,15,9,0
42,90595,556,88,10,0
56,118668,434,62,2,1
18,106912,805,6,22,0
66,46353,485,16,2,1
51,104236,600,94,10,1
36,128229,380,63,27,1
25,100943,623,5,2,1
32,53354,551,77,19,0
54,131038,566,14,24,1
44,141027,518,5,13,1
50,129716,558,14,13,0
19,111027,465,76,4,1
66,41416,849,55,11,1
42,147250,457,47,27,0
40,58062,495,8,9,1
52,115558,811,15,9,0
48,127308,547,2,11,1
39,42699,744,83,8,0
22,62169,724,87,17,0
21,90786,560,9,25,0
66,149672,734,97,15,0
36,126423,506,76,11,1
51,94166,712,65,15,0
29,57758,799,1,17,0
29,149574,333,4,14,1
30,146605,513,82,22,1
22,128387,551,75,16,1
63,98255,639,58,12,0
18,68526,532,47,17,0
43,92864,490,17,21,1
58,92067,368,8,7,0
25,31412,356,30,1,1
25,103387,629,61,6,1
51,131407,399,90,8,0
25,129949,340,8,11,1
52,71936,569,36,14,1
22,109733,694,67,5,0
23,105801,301,16,7,0
57,34515,840,98,8,0
68,96731,604,33,2,0
30,145950,545,18,15,0
63,46448,808,96,22,1
50,92195,842,91,9,0
39,144496,563,93,16,0
68,116497,718,58,18,0
46,69583,494,46,4,0
25,43847,832,52,10,1
46,83436,801,70,12,1
65,32805,740,57,3,1
43,140440,728,21,5,1
59,61125,306,8,2,0
51,78969,730,51,9,1
19,53576,435,10,15,1
31,41019,648,6,21,0
56,117576,617,36,19,0
39,49463,471,40,11,1
45,91610,696,38,25,0
56,56049,799,11,3,0
38,108522,717,90,29,1
51,100606,562,38,25,0
19,82282,811,88,7,1
49,65468,345,64,16,1
67,34002,835,84,11,1
68,31871,675,25,16,1
56,60728,317,30,7,0
46,148945,716,20,24,0
29,102887,835,34,22,1
68,102423,711,17,16,1
53,44612,475,82,10,0
49,105916,551,16,27,0
69,148848,724,64,29,1
20,69075,699,50,8,0
21,146876,551,25,26,0
50,48576,683,76,1,1
28,68576,699,29,12,0
50,129106,660,5,20,0
51,40067,642,35,19,0
23,124663,412,62,20,0
18,72876,432,45,6,0
55,70109,660,52,29,0
64,85060,315,90,23,0
26,123750,301,99,7,0
61,140483,554,95,21,1
62,145671,621,94,20,0
42,80586,660,20,2,0
34,111881,555,73,21,0
50,115473,369,80,21,1
50,143487,568,80,16,1
59,139782,670,30,8,1
42,140470,694,36,27,1
39,88564,761,58,17,1
45,130117,326,48,5,1
64,104924,663,43,2,1
53,58337,343,58,21,1
22,43289,622,19,18,1
50,123963,331,76,28,1
63,121050,604,47,8,0
42,117272,674,63,16,1
56,126445,550,82,2,1
69,36545,560,34,16,1
60,60225,781,77,3,0
43,77403,699,23,24,0
50,127919,408,56,15,0
58,123203,533,68,19,0
51,90549,486,34,14,0
24,103010,444,53,14,0
19,35353,769,85,12,0
69,77264,397,77,7,0
49,96601,706,17,10,1
25,72835,694,93,2,0
31,104892,497,50,16,0
21,109092,378,82,20,0
46,35515,628,68,23,1
33,96203,775,53,3,0
47,105451,317,94,2,1
20,57352,619,63,10,1
65,69614,666,85,10,1
37,135929,624,2,1,0
50,56451,376,33,28,1
36,126432,378,32,24,0
58,101000,830,42,20,1
52,76908,790,77,16,1
48,41586,831,40,13,1
50,59923,685,51,29,1
67,148005,793,69,10,1
64,60434,351,26,26,0
37,45843,802,80,13,1
59,127563,391,19,29,1
38,57391,697,22,11,0
58,33463,410,19,19,0
64,112645,499,63,18,1
68,69195,748,62,27,0
22,118328,785,59,3,0
27,126937,447,40,21,1
18,42187,520,68,8,0
44,88280,701,71,8,1
39,89749,529,97,26,1
28,51970,680,98,10,1
39,125580,499,58,19,1
51,37828,529,5,17,0
56,79626,463,9,19,1
55,76565,637,15,24,1
61,101834,757,96,7,0
57,146594,371,64,6,1
51,117388,398,52,16,0
49,31490,661,47,9,0
59,141543,675,38,5,1
25,103364,525,22,15,1
23,86210,744,12,29,0
24,42780,753,5,21,1
41,70107,339,51,6,1
40,105690,394,74,25,0
60,36106,832,13,1,0
57,75834,533,58,16,1
49,76226,525,40,15,1
55,40367,499,7,28,1
56,139362,539,28,13,0
41,106501,599,35,28,0
46,46897,632,13,13,0
54,88534,791,99,7,0
20,57656,687,13,14,1
28,102574,727,85,18,1
38,54208,771,75,19,0
18,109357,330,99,3,0
34,35801,657,84,1,1
48,57821,552,11,12,0
21,60926,551,60,25,1
32,111731,471,30,2,0
62,56168,520,24,12,1
66,68897,576,77,3,1
69,128755,711,84,10,0
23,90932,484,94,27,0
67,84982,801,64,3,1
28,72424,555,47,23,1
61,69765,499,11,26,0
64,98241,642,37,28,0
45,63743,798,21,26,1
51,109951,617,77,10,1
26,97274,766,12,28,0
22,31793,833,16,27,0
57,83531,366,27,11,1
50,95622,344,49,14,1
65,110318,363,73,25,1
51,93765,368,24,8,1
25,115986,778,84,4,0
51,78271,658,34,17,0
32,45804,402,82,7,1
31,52941,602,7,8,1
61,136443,713,29,28,0
39,84132,408,18,25,1
54,66055,413,1,3,0
30,100069,472,5,2,0
44,83070,474,77,24,1
36,81649,538,13,26,0
55,93552,832,28,10,1
53,43863,530,9,4,0
30,31279,376,40,12,0
59,55892,502,99,14,1
53,142910,308,98,14,1
43,78095,788,70,15,0
55,136794,634,20,28,1
19,124210,506,70,12,1
62,116844,492,87,4,0
59,47315,779,12,5,0
61,47493,849,21,14,1
18,59931,616,64,25,0
33,40101,588,1,26,0
46,31233,557,61,7,0
58,114955,578,50,15,1
24,113462,418,88,19,1
67,60200,485,3,24,1
68,86647,646,92,22,0
50,75196,510,96,7,0
44,134968,644,5,25,0
38,91072,538,3,8,0
56,104642,697,15,20,1
19,141927,767,27,22,1
34,96736,523,50,22,1
43,111694,423,79,18,0
37,42278,528,41,18,0
48,78773,499,79,4,1
18,125553,390,41,12,0
60,87574,731,67,11,1
65,146455,547,41,28,1
39,131667,634,90,28,0
51,62561,466,92,2,0
19,104216,844,78,16,0
43,97440,388,14,15,0
56,40075,668,54,17,1
30,57562,745,84,14,1
66,126359,749,36,28,1
36,124549,394,48,27,1
31,61907,334,90,24,1
31,142911,774,39,29,1
42,146328,443,14,5,0
62,78563,320,65,18,0
44,101076,681,28,5,1
37,143288,671,20,25,0
57,111957,497,13,14,1
52,109390,621,18,10,0
33,136325,729,93,12,0
55,34991,429,55,12,1
56,74073,628,82,22,1
50,68764,767,56,3,0
54,51092,306,56,5,0
52,55676,554,69,4,0
69,90991,793,50,24,0
64,108174,690,25,17,1
19,138713,538,44,7,1
50,127975,317,21,7,1
48,91650,516,61,19,0
55,132923,605,60,7,0
25,143174,491,92,12,1
66,127328,550,15,26,0
68,119416,607,66,17,1
68,39709,722,77,11,1
50,97715,733,56,28,0
61,33107,734,97,29,1
59,57568,426,45,16,1
23,97023,759,12,24,1
19,59166,339,50,16,0
51,37468,365,39,4,1
69,76059,837,41,1,0
48,144220,839,93,13,1
36,48055,846,8,11,0
67,44235,763,21,28,1
35,98533,769,95,17,1
36,99501,804,88,7,0
49,59670,530,49,6,0
25,75346,630,28,6,0
39,71381,717,24,5,0
36,107228,819,53,1,1
64,131533,769,97,4,1
62,73400,792,91,18,1
45,83856,362,15,14,1
27,113269,754,16,3,1
22,80056,428,18,12,0
31,75376,808,12,9,0
41,118665,753,30,14,0
49,125899,789,42,18,0
69,123630,575,18,4,0
55,107647,509,74,27,1
18,122624,559,71,27,1
36,71796,616,65,11,1
49,41587,589,32,8,1
19,134283,391,80,9,0
38,90881,591,68,20,1
32,36594,803,56,6,1
59,43897,659,4,4,0
22,129977,678,14,29,1
43,68865,416,19,20,0
37,71738,472,14,24,0
45,125981,351,96,6,0
46,77416,571,60,6,1
26,133265,778,74,4,1
63,90661,467,50,10,1
30,126586,339,63,12,0
64,120152,524,40,4,1
67,115248,330,92,22,1
29,101795,409,84,21,0
26,114780,492,50,13,0
28,125643,560,10,6,0
41,80967,334,26,11,1
42,125940,402,52,13,1
43,94800,693,68,25,1
36,69855,811,69,16,0
36,112324,438,82,25,0
23,46251,523,86,3,1
65,70509,647,90,2,0
60,147744,558,77,28,1
64,124788,481,74,27,0
39,110917,379,5,13,0
69,99194,792,76,23,1
27,55690,625,45,14,1
60,53521,754,79,25,1
31,48760,396,42,7,0
36,90615,788,11,4,0
41,51008,423,65,2,1
63,143393,703,65,10,0
49,63447,512,42,18,0
51,85549,688,55,8,1
32,76501,302,9,2,1
65,140651,728,1,17,1
58,93098,344,3,16,0
67,138618,441,28,24,1
26,134522,833,36,24,1
19,144947,676,87,8,1
40,95750,327,56,17,1
20,92557,688,43,16,1
40,95597,746,96,22,1
19,62582,508,39,14,0
26,89934,483,25,27,1
69,76163,426,52,16,1
25,118401,550,11,20,1
66,123422,565,46,3,1
41,118256,562,32,14,0
31,149415,498,14,14,1
66,113185,760,10,20,0
18,144835,467,40,8,0
60,122526,687,16,24,1
57,121113,392,52,2,0
21,39565,613,52,7,1
61,30960,808,16,7,1
61,57577,503,64,14,1
28,49518,839,7,16,1
52,129910,654,44,23,1
51,104531,478,9,9,1
29,121504,301,84,19,1
20,105456,815,88,21,1
28,34256,328,85,6,1
45,78288,533,58,19,1
23,126681,717,58,22,1
44,119178,557,61,25,0
21,128539,405,59,27,1
49,96747,649,46,4,1
29,143243,533,76,28,0
21,88064,579,89,10,0
19,110815,439,80,24,0
31,69548,385,12,11,1
35,117628,552,7,22,0
26,134615,660,98,8,0
56,48259,836,53,10,1
22,70512,533,59,8,0
24,144133,467,73,23,0
30,117108,374,99,9,0
27,70550,724,11,25,0
23,149656,578,34,9,1
33,57236,801,25,11,1
38,132341,389,28,8,0
49,89929,507,97,19,1
