Tenure,Monthly_Charges,Service_Type,Churn
62,117.72,Multiple,No
66,51.9,Multiple,No
11,109.42,Phone,No
18,45.58,Internet,No
10,90.73,Phone,No
60,67.02,Internet,No
8,117.48,Phone,No
71,46.63,Multiple,No
48,66.79,Phone,No
41,87.58,Phone,Yes
8,117.99,Multiple,No
37,57.35,Multiple,No
37,65.72,Phone,No
64,71.56,Phone,No
59,52.74,Multiple,No
45,103.56,Internet,Yes
16,38.28,Multiple,No
26,93.43,Internet,No
31,78.05,Phone,No
27,51.77,Phone,No
43,74.35,Internet,Yes
15,104.7,Multiple,No
58,70.09,Multiple,No
49,40.97,Multiple,No
25,33.67,Phone,No
68,100.0,Multiple,No
36,59.74,Multiple,No
47,113.81,Multiple,No
59,85.54,Internet,Yes
52,69.27,Multiple,No
40,80.8,Internet,No
43,71.14,Internet,No
56,111.52,Phone,Yes
3,71.22,Multiple,No
71,39.37,Multiple,No
12,83.74,Phone,No
65,86.07,Internet,No
43,98.88,Internet,No
70,114.0,Multiple,No
46,69.88,Multiple,No
60,61.69,Internet,No
61,74.17,Multiple,No
49,111.02,Phone,No
25,118.2,Phone,No
3,117.41,Phone,No
68,50.67,Phone,No
63,74.72,Multiple,No
30,53.35,Multiple,No
4,63.12,Internet,No
71,32.85,Multiple,No
21,44.45,Multiple,No
71,65.74,Phone,No
1,62.82,Phone,No
60,55.09,Multiple,Yes
34,50.73,Multiple,No
3,97.41,Phone,Yes
18,56.51,Internet,Yes
43,93.59,Multiple,No
41,63.18,Phone,No
24,102.18,Multiple,No
24,45.05,Phone,No
3,44.18,Internet,No
59,91.17,Internet,No
58,112.34,Internet,No
24,42.87,Phone,No
66,36.63,Phone,Yes
40,114.12,Multiple,Yes
71,40.56,Phone,No
9,52.53,Multiple,Yes
60,113.65,Multiple,Yes
39,102.26,Multiple,Yes
33,60.85,Phone,No
34,115.91,Multiple,No
62,81.12,Multiple,No
61,36.5,Phone,No
27,93.28,Internet,No
17,78.35,Phone,No
60,81.53,Internet,No
42,119.47,Multiple,No
47,43.73,Multiple,No
53,89.11,Multiple,No
21,71.29,Internet,No
8,54.47,Multiple,No
58,92.42,Internet,No
68,90.14,Internet,Yes
63,107.08,Multiple,No
59,109.1,Phone,No
30,80.56,Phone,Yes
25,59.3,Multiple,No
56,77.66,Multiple,No
34,62.33,Phone,No
50,54.96,Multiple,No
2,79.64,Internet,No
53,89.21,Multiple,No
41,83.15,Phone,No
23,115.9,Multiple,No
61,56.88,Multiple,No
31,63.51,Internet,No
66,90.09,Multiple,No
2,84.03,Multiple,Yes
69,30.17,Internet,Yes
60,58.11,Multiple,No
23,52.84,Multiple,No
57,105.59,Phone,No
35,107.96,Phone,Yes
1,55.55,Internet,No
48,39.19,Internet,No
49,48.47,Phone,No
40,45.89,Phone,No
62,51.37,Multiple,No
15,51.12,Multiple,Yes
30,73.19,Multiple,No
21,58.77,Multiple,Yes
8,80.38,Internet,Yes
7,60.97,Multiple,No
34,103.32,Phone,No
64,115.57,Internet,No
42,66.35,Phone,Yes
53,34.45,Phone,Yes
70,51.56,Phone,No
10,39.17,Internet,Yes
58,61.03,Multiple,No
4,88.06,Phone,Yes
8,76.7,Internet,No
12,51.86,Multiple,No
25,99.05,Internet,No
27,41.83,Multiple,No
2,50.54,Phone,No
55,90.84,Phone,No
58,47.75,Internet,No
33,91.09,Internet,No
49,117.92,Phone,No
5,104.82,Phone,No
47,44.4,Multiple,No
24,76.84,Phone,Yes
44,68.01,Internet,No
68,119.25,Multiple,No
14,116.8,Multiple,No
36,41.44,Internet,No
51,111.79,Internet,No
6,47.41,Internet,No
17,58.75,Multiple,No
51,61.81,Multiple,No
52,55.81,Multiple,No
12,106.79,Multiple,No
1,59.69,Phone,No
11,103.51,Phone,No
16,119.49,Multiple,No
9,105.67,Phone,Yes
8,61.15,Multiple,No
25,94.01,Internet,Yes
40,78.05,Internet,No
67,100.79,Multiple,No
23,43.78,Multiple,No
62,87.43,Multiple,No
23,99.63,Multiple,No
44,98.51,Internet,No
56,116.72,Multiple,No
68,35.26,Multiple,Yes
23,61.12,Internet,No
9,72.89,Multiple,No
4,57.88,Multiple,No
34,57.88,Multiple,No
34,45.85,Internet,No
42,103.17,Multiple,No
3,111.73,Phone,Yes
34,37.41,Phone,No
43,43.94,Multiple,No
67,50.56,Internet,No
37,75.81,Phone,No
12,101.21,Internet,No
16,36.43,Phone,No
62,87.31,Multiple,No
17,43.44,Internet,No
15,117.43,Internet,No
26,110.89,Phone,No
45,115.46,Multiple,No
2,39.55,Multiple,No
17,73.92,Multiple,Yes
65,44.87,Internet,No
30,84.03,Multiple,No
68,50.95,Phone,No
44,99.36,Phone,No
60,87.96,Internet,Yes
1,81.44,Phone,No
19,104.27,Phone,No
33,75.02,Internet,No
36,54.29,Internet,No
24,85.86,Multiple,No
25,116.14,Phone,No
11,84.1,Multiple,No
9,86.67,Internet,Yes
6,114.13,Internet,Yes
58,76.37,Phone,No
29,119.67,Internet,Yes
11,44.37,Multiple,No
23,78.33,Multiple,No
26,49.16,Phone,No
1,70.8,Internet,No
47,45.35,Internet,No
41,50.03,Phone,Yes
23,48.97,Multiple,No
5,58.8,Internet,No
50,42.11,Internet,No
9,102.84,Phone,No
4,49.86,Phone,No
71,67.49,Multiple,No
65,31.45,Phone,No
57,39.44,Internet,No
25,110.66,Multiple,No
58,105.34,Internet,No
6,105.68,Internet,No
14,67.02,Internet,No
63,42.74,Multiple,No
65,39.71,Multiple,No
52,84.5,Multiple,Yes
65,104.54,Multiple,No
8,111.01,Phone,No
8,55.99,Phone,Yes
14,58.89,Multiple,No
24,39.08,Internet,No
64,99.7,Internet,No
25,54.81,Multiple,No
6,73.28,Phone,No
1,113.6,Internet,No
33,97.7,Multiple,Yes
14,34.75,Multiple,No
63,30.73,Internet,No
56,100.87,Internet,No
62,79.73,Phone,Yes
28,94.83,Internet,No
29,44.11,Internet,No
23,108.48,Multiple,No
44,99.6,Phone,No
38,110.18,Multiple,No
49,60.7,Multiple,No
43,54.81,Multiple,No
10,43.66,Internet,No
27,113.71,Internet,No
8,45.91,Multiple,Yes
68,40.74,Multiple,No
30,47.34,Internet,No
13,99.42,Multiple,Yes
58,110.06,Internet,Yes
3,102.98,Multiple,No
5,80.69,Phone,Yes
22,119.45,Multiple,Yes
58,36.2,Multiple,Yes
66,108.05,Multiple,No
40,68.49,Multiple,No
5,70.96,Internet,No
16,41.48,Internet,No
15,33.01,Phone,No
18,58.5,Internet,No
47,45.74,Internet,Yes
4,73.5,Phone,No
53,43.26,Multiple,Yes
58,42.41,Multiple,No
58,108.93,Phone,No
59,112.92,Multiple,Yes
34,116.78,Phone,No
30,91.25,Phone,Yes
54,99.39,Multiple,No
68,105.22,Internet,No
68,89.3,Internet,No
26,59.72,Phone,No
3,44.07,Multiple,No
57,51.35,Phone,No
37,105.64,Phone,No
38,92.65,Internet,No
41,71.02,Multiple,No
4,32.65,Phone,No
26,53.96,Phone,No
39,95.6,Phone,No
42,76.11,Internet,No
11,69.2,Phone,Yes
11,58.23,Phone,No
54,84.62,Multiple,No
38,116.97,Phone,Yes
20,111.1,Internet,No
26,32.74,Multiple,Yes
14,73.29,Phone,No
50,59.65,Multiple,No
25,75.95,Internet,No
55,84.56,Multiple,No
51,48.0,Multiple,No
10,100.34,Internet,No
14,72.76,Phone,No
5,119.28,Internet,No
57,32.26,Multiple,No
22,47.07,Phone,Yes
29,92.07,Multiple,No
7,92.57,Multiple,No
18,82.4,Phone,No
31,117.48,Multiple,No
43,67.38,Phone,No
35,67.53,Internet,No
71,111.94,Internet,No
4,78.46,Internet,No
51,61.84,Internet,No
30,94.7,Internet,Yes
53,85.77,Multiple,Yes
14,57.58,Multiple,Yes
36,56.81,Multiple,No
12,65.61,Multiple,Yes
34,36.45,Multiple,No
26,114.84,Internet,Yes
6,46.47,Phone,No
53,47.44,Phone,No
15,88.23,Internet,No
19,95.18,Multiple,Yes
47,96.32,Multiple,No
61,63.76,Multiple,Yes
52,108.6,Internet,Yes
18,78.96,Multiple,No
60,69.47,Multiple,No
47,102.93,Internet,No
57,51.92,Internet,No
33,107.42,Multiple,No
32,78.49,Internet,No
4,111.01,Multiple,No
41,48.15,Multiple,No
19,114.25,Internet,Yes
7,91.91,Phone,No
26,85.65,Multiple,Yes
51,67.99,Multiple,No
56,116.07,Phone,Yes
71,69.95,Internet,Yes
51,74.87,Internet,No
8,100.33,Multiple,Yes
13,55.64,Phone,No
32,56.23,Internet,No
34,99.78,Multiple,No
18,41.57,Internet,No
55,104.07,Multiple,No
43,86.27,Multiple,No
24,78.52,Phone,No
21,50.62,Phone,No
18,100.77,Phone,No
14,102.45,Internet,Yes
53,73.46,Multiple,No
19,65.03,Internet,No
57,52.15,Phone,No
64,97.88,Phone,No
2,87.55,Phone,No
57,48.6,Internet,No
34,101.5,Multiple,No
49,109.4,Internet,No
54,35.33,Phone,No
22,99.52,Multiple,No
44,106.75,Multiple,No
35,119.24,Phone,No
29,51.38,Internet,No
6,63.39,Phone,No
37,116.96,Phone,No
58,38.46,Multiple,No
64,77.13,Internet,No
31,75.61,Multiple,No
50,84.59,Multiple,Yes
60,59.77,Multiple,No
14,113.33,Internet,No
70,54.31,Internet,No
11,88.47,Phone,No
27,74.63,Multiple,No
69,54.0,Phone,No
38,47.0,Phone,No
62,116.09,Phone,No
53,80.52,Phone,No
18,84.38,Multiple,No
52,100.46,Multiple,Yes
24,37.31,Multiple,No
7,94.24,Multiple,No
14,44.86,Phone,Yes
50,96.64,Phone,No
24,42.72,Phone,No
13,104.92,Phone,No
19,91.29,Internet,Yes
29,64.73,Multiple,No
22,62.3,Multiple,No
2,43.41,Multiple,Yes
36,111.36,Internet,Yes
38,40.67,Internet,No
18,72.49,Multiple,No
51,51.29,Multiple,No
15,119.67,Internet,Yes
52,82.73,Internet,Yes
17,43.46,Phone,No
22,90.08,Multiple,No
54,119.24,Phone,No
52,84.45,Internet,No
46,71.16,Multiple,No
4,56.39,Multiple,Yes
7,38.29,Phone,No
10,50.54,Phone,No
15,79.83,Multiple,Yes
26,97.84,Internet,No
40,109.01,Phone,Yes
61,101.43,Multiple,No
16,41.29,Multiple,Yes
18,99.61,Internet,No
2,82.34,Multiple,Yes
54,72.22,Phone,No
18,81.55,Multiple,Yes
54,30.73,Multiple,Yes
38,36.1,Multiple,No
15,77.33,Multiple,No
64,45.63,Multiple,No
8,79.1,Multiple,No
46,61.88,Internet,No
39,111.67,Internet,No
52,115.47,Phone,No
8,118.18,Internet,No
50,110.9,Internet,No
50,118.73,Phone,No
68,93.55,Multiple,No
27,116.45,Internet,No
38,87.76,Internet,No
21,102.83,Phone,No
45,41.87,Internet,Yes
58,91.43,Multiple,No
23,113.8,Internet,Yes
54,78.6,Internet,No
30,46.81,Multiple,No
16,77.42,Internet,No
52,93.62,Internet,No
41,99.28,Phone,No
71,77.13,Internet,Yes
24,49.56,Multiple,No
20,113.4,Internet,Yes
27,99.63,Phone,No
2,54.36,Phone,No
60,103.06,Phone,No
51,61.31,Phone,No
1,58.12,Internet,No
6,107.68,Phone,No
38,108.59,Multiple,No
54,65.86,Multiple,No
60,30.8,Phone,Yes
27,46.79,Multiple,Yes
62,111.84,Multiple,No
63,110.89,Multiple,No
35,70.8,Phone,No
58,57.37,Multiple,No
61,57.25,Multiple,Yes
36,110.75,Multiple,Yes
56,59.23,Multiple,Yes
67,76.04,Phone,No
57,95.79,Phone,No
41,48.85,Multiple,No
31,52.85,Phone,No
3,62.23,Internet,No
38,88.88,Phone,No
53,103.57,Multiple,Yes
52,79.2,Internet,No
24,41.96,Multiple,Yes
26,70.16,Multiple,No
37,41.49,Internet,No
48,37.95,Multiple,Yes
67,83.07,Internet,No
41,116.06,Phone,No
49,105.39,Multiple,No
28,99.7,Internet,No
32,95.44,Internet,Yes
71,110.74,Phone,Yes
71,97.76,Multiple,No
32,86.42,Internet,No
38,62.82,Phone,No
20,39.08,Multiple,No
8,71.49,Phone,No
68,113.23,Internet,Yes
26,82.48,Multiple,No
70,46.61,Multiple,No
48,88.41,Multiple,No
69,71.89,Multiple,No
46,113.82,Phone,No
58,44.48,Multiple,No
70,94.08,Phone,Yes
67,91.34,Phone,Yes
29,118.52,Phone,No
10,80.84,Multiple,No
71,108.44,Internet,No
65,32.22,Internet,Yes
65,41.06,Phone,Yes
17,61.13,Phone,Yes
22,85.74,Multiple,No
14,70.42,Phone,No
6,48.24,Internet,No
30,83.03,Multiple,Yes
47,81.0,Multiple,No
20,77.2,Multiple,No
16,38.15,Phone,No
68,113.43,Phone,No
34,83.3,Multiple,Yes
1,53.76,Multiple,No
48,91.87,Internet,No
8,58.61,Multiple,No
22,75.53,Internet,No
68,60.7,Phone,No
34,109.24,Internet,No
60,119.46,Phone,No
45,44.51,Internet,No
37,32.12,Phone,No
23,49.74,Phone,No
24,83.1,Multiple,Yes
13,45.66,Phone,No
69,103.03,Phone,No
60,66.78,Multiple,Yes
38,84.95,Internet,No
48,71.01,Internet,No
26,111.3,Multiple,No
1,33.16,Internet,No
4,95.64,Phone,Yes
67,88.7,Internet,Yes
13,88.46,Multiple,No
39,67.26,Multiple,No
31,31.41,Phone,No
24,92.03,Phone,No
5,104.65,Internet,No
49,37.67,Internet,No
11,69.75,Phone,No
24,44.63,Multiple,No
45,84.98,Multiple,Yes
34,100.7,Multiple,Yes
11,90.0,Multiple,No
57,58.63,Phone,No
29,42.58,Multiple,No
22,101.48,Multiple,No
33,59.15,Phone,No
49,31.99,Internet,No
23,81.43,Internet,No
69,52.2,Multiple,Yes
29,105.71,Multiple,No
6,42.89,Multiple,No
52,69.13,Multiple,No
14,52.78,Phone,Yes
17,92.06,Multiple,No
28,79.37,Multiple,No
9,101.19,Phone,No
66,71.28,Multiple,Yes
4,30.43,Internet,No
20,49.37,Multiple,No
41,119.92,Internet,No
36,66.48,Multiple,No
6,85.82,Phone,No
65,111.44,Internet,No
50,31.85,Phone,No
64,89.36,Phone,Yes
3,55.95,Phone,No
37,55.13,Internet,No
3,50.24,Multiple,No
33,104.05,Internet,No
59,63.57,Internet,No
15,36.04,Multiple,No
56,38.72,Multiple,Yes
61,43.38,Phone,No
68,110.9,Phone,No
71,68.47,Phone,No
68,112.44,Phone,Yes
62,103.57,Internet,No
67,105.41,Multiple,Yes
23,55.81,Phone,Yes
14,54.42,Internet,Yes
6,80.41,Internet,No
33,67.61,Internet,No
9,75.82,Multiple,No
12,34.79,Multiple,Yes
51,117.44,Multiple,No
3,35.24,Internet,No
56,46.09,Multiple,Yes
46,91.04,Multiple,No
36,44.0,Internet,No
13,39.62,Multiple,No
13,43.83,Internet,Yes
58,35.57,Multiple,Yes
34,52.62,Phone,No
43,54.4,Internet,No
28,74.88,Internet,No
56,69.49,Multiple,No
47,72.63,Phone,Yes
35,85.44,Internet,No
19,50.79,Multiple,No
51,42.12,Multiple,No
20,109.1,Internet,No
29,87.05,Internet,No
65,35.46,Multiple,No
38,116.49,Multiple,No
49,92.38,Multiple,No
28,43.65,Multiple,Yes
33,117.22,Phone,No
13,62.89,Multiple,No
44,118.61,Phone,No
52,39.29,Internet,No
41,44.4,Internet,No
49,89.17,Multiple,No
7,31.99,Phone,No
36,31.68,Multiple,No
26,101.28,Phone,No
27,45.1,Multiple,No
24,112.69,Internet,No
71,68.33,Multiple,No
33,108.63,Multiple,No
18,67.6,Internet,No
5,77.72,Multiple,No
1,58.49,Multiple,No
71,89.23,Internet,No
3,58.64,Internet,No
36,50.09,Multiple,Yes
35,37.29,Phone,Yes
51,35.19,Internet,Yes
12,57.54,Multiple,No
15,96.28,Phone,No
4,48.51,Multiple,No
56,56.93,Internet,No
16,111.47,Phone,Yes
6,87.52,Multiple,Yes
63,112.78,Multiple,No
23,112.01,Internet,No
44,35.71,Phone,No
1,115.95,Internet,No
57,34.61,Multiple,No
27,113.31,Phone,No
25,79.21,Phone,No
62,77.99,Multiple,No
18,94.19,Multiple,No
30,109.13,Multiple,No
30,85.53,Phone,No
47,68.29,Phone,No
22,40.07,Phone,No
42,101.03,Multiple,Yes
34,41.55,Internet,No
63,95.37,Phone,No
4,77.51,Phone,Yes
31,64.73,Multiple,No
51,85.17,Multiple,No
50,99.51,Multiple,No
14,114.7,Phone,Yes
8,53.82,Multiple,No
69,115.24,Internet,No
8,116.49,Internet,Yes
11,103.23,Multiple,No
29,109.33,Phone,No
55,92.32,Internet,Yes
39,33.52,Multiple,No
13,81.76,Phone,Yes
64,97.25,Internet,No
49,114.75,Multiple,No
19,81.34,Phone,No
67,101.48,Internet,No
52,93.45,Multiple,No
71,55.27,Internet,No
20,43.93,Internet,No
54,97.58,Phone,No
5,51.04,Phone,No
62,52.02,Multiple,No
17,87.96,Multiple,No
53,101.02,Internet,No
37,82.41,Internet,No
19,109.65,Internet,No
10,49.03,Internet,Yes
44,52.72,Multiple,No
49,87.33,Phone,Yes
37,104.64,Multiple,No
58,78.54,Internet,No
15,30.93,Multiple,No
20,90.92,Internet,Yes
55,103.22,Multiple,No
13,54.89,Multiple,No
20,34.88,Internet,No
43,76.62,Multiple,No
41,33.79,Multiple,No
48,67.44,Internet,No
56,31.6,Internet,Yes
68,50.25,Internet,No
44,64.99,Internet,Yes
47,40.05,Internet,No
50,40.27,Phone,No
32,104.44,Multiple,No
54,33.73,Multiple,Yes
39,92.01,Internet,No
58,103.3,Phone,No
61,41.77,Multiple,No
19,47.58,Phone,No
69,87.73,Multiple,No
22,58.41,Phone,No
35,72.88,Multiple,Yes
10,105.24,Internet,No
15,42.42,Multiple,No
2,85.77,Phone,No
22,114.82,Phone,No
12,35.17,Phone,No
62,35.4,Internet,No
45,79.93,Phone,No
58,116.41,Phone,No
20,49.84,Internet,No
51,59.77,Multiple,No
7,38.88,Internet,No
24,62.6,Multiple,No
67,33.99,Internet,No
70,65.02,Internet,No
53,79.99,Multiple,No
34,117.75,Internet,No
33,103.65,Multiple,No
23,103.99,Multiple,No
58,50.53,Internet,No
68,37.85,Internet,Yes
69,84.28,Multiple,No
40,76.9,Multiple,No
47,76.49,Internet,No
43,39.81,Phone,No
61,74.45,Multiple,No
42,43.53,Internet,No
62,67.99,Internet,No
67,35.59,Multiple,No
55,107.12,Multiple,No
49,31.19,Internet,No
49,114.54,Internet,No
33,107.66,Multiple,No
28,97.73,Internet,No
57,118.43,Phone,No
41,34.84,Multiple,No
4,87.74,Internet,No
20,106.44,Multiple,Yes
35,41.4,Multiple,No
53,82.63,Multiple,Yes
39,65.45,Multiple,Yes
53,69.22,Internet,Yes
10,112.13,Multiple,No
65,78.48,Multiple,Yes
1,38.39,Multiple,No
53,114.35,Multiple,No
46,46.67,Multiple,No
26,110.34,Phone,No
2,117.38,Phone,Yes
28,109.01,Phone,No
27,90.94,Phone,No
28,96.92,Phone,Yes
